X1,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
1206,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star,Fairbanks,2014-07-01,Parts per billion,2.080952,4.1,9,4,Parts per million,0.013375,0.017,19,16,Parts per billion,3.775,4.5,9,6,Parts per million,0.28625,0.33,11,NA
1207,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star,Fairbanks,2014-07-01,Parts per billion,2.080952,4.1,9,4,Parts per million,0.013375,0.017,19,16,Parts per billion,3.775,4.5,9,6,Parts per million,0.3,0.3,0,3
1208,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star,Fairbanks,2014-07-01,Parts per billion,2.080952,4.1,9,4,Parts per million,0.013375,0.017,19,16,Parts per billion,3.7625,4,11,NA,Parts per million,0.28625,0.33,11,NA
1209,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star,Fairbanks,2014-07-01,Parts per billion,2.080952,4.1,9,4,Parts per million,0.013375,0.017,19,16,Parts per billion,3.7625,4,11,NA,Parts per million,0.3,0.3,0,3
1210,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star,Fairbanks,2014-07-02,Parts per billion,1.820833,4.2,6,4,Parts per million,0.010792,0.016,0,15,Parts per billion,3.920833,4.8,22,6,Parts per million,0.274583,0.31,23,NA
1211,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star,Fairbanks,2014-07-02,Parts per billion,1.820833,4.2,6,4,Parts per million,0.010792,0.016,0,15,Parts per billion,3.920833,4.8,22,6,Parts per million,0.3,0.3,0,3
1212,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star,Fairbanks,2014-07-02,Parts per billion,1.820833,4.2,6,4,Parts per million,0.010792,0.016,0,15,Parts per billion,3.875,4.5,23,NA,Parts per million,0.274583,0.31,23,NA
1213,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star,Fairbanks,2014-07-02,Parts per billion,1.820833,4.2,6,4,Parts per million,0.010792,0.016,0,15,Parts per billion,3.875,4.5,23,NA,Parts per million,0.3,0.3,0,3
1214,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star,Fairbanks,2014-07-03,Parts per billion,2.954167,6.1,11,6,Parts per million,0.01225,0.021,14,19,Parts per billion,4.778261,9.5,11,13,Parts per million,0.275217,0.33,11,NA
1215,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star,Fairbanks,2014-07-03,Parts per billion,2.954167,6.1,11,6,Parts per million,0.01225,0.021,14,19,Parts per billion,4.778261,9.5,11,13,Parts per million,0.3,0.3,0,3
1216,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star,Fairbanks,2014-07-03,Parts per billion,2.954167,6.1,11,6,Parts per million,0.01225,0.021,14,19,Parts per billion,4.814286,6.3,11,NA,Parts per million,0.275217,0.33,11,NA
1217,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star,Fairbanks,2014-07-03,Parts per billion,2.954167,6.1,11,6,Parts per million,0.01225,0.021,14,19,Parts per billion,4.814286,6.3,11,NA,Parts per million,0.3,0.3,0,3
1218,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star,Fairbanks,2014-07-04,Parts per billion,3.240909,14,23,13,Parts per million,0.018458,0.03,11,28,Parts per billion,4.541667,9.7,16,13,Parts per million,0.251667,0.29,8,NA
1219,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star,Fairbanks,2014-07-04,Parts per billion,3.240909,14,23,13,Parts per million,0.018458,0.03,11,28,Parts per billion,4.541667,9.7,16,13,Parts per million,0.266667,0.3,0,3
1220,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star,Fairbanks,2014-07-04,Parts per billion,3.240909,14,23,13,Parts per million,0.018458,0.03,11,28,Parts per billion,4.5125,6.4,17,NA,Parts per million,0.251667,0.29,8,NA
1221,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star,Fairbanks,2014-07-04,Parts per billion,3.240909,14,23,13,Parts per million,0.018458,0.03,11,28,Parts per billion,4.5125,6.4,17,NA,Parts per million,0.266667,0.3,0,3
1222,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star,Fairbanks,2014-07-05,Parts per billion,3.666667,10.9,0,9,Parts per million,0.023875,0.035,11,32,Parts per billion,4.408333,6,13,9,Parts per million,0.246667,0.35,10,NA
1223,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star,Fairbanks,2014-07-05,Parts per billion,3.666667,10.9,0,9,Parts per million,0.023875,0.035,11,32,Parts per billion,4.408333,6,13,9,Parts per million,0.2625,0.3,1,3
1224,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star,Fairbanks,2014-07-05,Parts per billion,3.666667,10.9,0,9,Parts per million,0.023875,0.035,11,32,Parts per billion,4.4,4.8,5,NA,Parts per million,0.246667,0.35,10,NA
1225,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star,Fairbanks,2014-07-05,Parts per billion,3.666667,10.9,0,9,Parts per million,0.023875,0.035,11,32,Parts per billion,4.4,4.8,5,NA,Parts per million,0.2625,0.3,1,3
1226,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star,Fairbanks,2014-07-06,Parts per billion,2.983333,6.7,2,6,Parts per million,0.016,0.02,11,19,Parts per billion,4.552174,7.6,12,10,Parts per million,0.269565,0.32,23,NA
1227,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star,Fairbanks,2014-07-06,Parts per billion,2.983333,6.7,2,6,Parts per million,0.016,0.02,11,19,Parts per billion,4.552174,7.6,12,10,Parts per million,0.270833,0.3,7,3
1228,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star,Fairbanks,2014-07-06,Parts per billion,2.983333,6.7,2,6,Parts per million,0.016,0.02,11,19,Parts per billion,4.542857,5.6,14,NA,Parts per million,0.269565,0.32,23,NA
1229,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star,Fairbanks,2014-07-06,Parts per billion,2.983333,6.7,2,6,Parts per million,0.016,0.02,11,19,Parts per billion,4.542857,5.6,14,NA,Parts per million,0.270833,0.3,7,3
1230,2,90,34,809 Pioneer Road,Alaska,Fairbanks North Star,Fairbanks,2014-07-07,Parts per billion,2.309091,5.5,8,5,Parts per million,0.012583,0.018,12,17,Parts per billion,4.279167,5.3,16,7,Parts per million,0.280833,0.34,23,NA
