X1,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
3630,6,1,10,6701 INTERNATIONAL BLVD,California,Alameda,Oakland,2001-12-05,Parts per billion,32.608696,38,15,36,Parts per million,0.001458,0.007,22,6,Parts per billion,1.333333,3,11,4,Parts per million,0.972727,1.4,15,NA
3631,6,1,10,6701 INTERNATIONAL BLVD,California,Alameda,Oakland,2001-12-05,Parts per billion,32.608696,38,15,36,Parts per million,0.001458,0.007,22,6,Parts per billion,1.333333,3,11,4,Parts per million,1.066667,1.2,18,14
3632,6,1,10,6701 INTERNATIONAL BLVD,California,Alameda,Oakland,2001-12-05,Parts per billion,32.608696,38,15,36,Parts per million,0.001458,0.007,22,6,Parts per billion,1.2875,2.3,11,NA,Parts per million,0.972727,1.4,15,NA
3633,6,1,10,6701 INTERNATIONAL BLVD,California,Alameda,Oakland,2001-12-05,Parts per billion,32.608696,38,15,36,Parts per million,0.001458,0.007,22,6,Parts per billion,1.2875,2.3,11,NA,Parts per million,1.066667,1.2,18,14
3634,6,1,10,6701 INTERNATIONAL BLVD,California,Alameda,Oakland,2001-12-06,Parts per billion,30.625,62,23,60,Parts per million,0.003833,0.007,0,6,Parts per billion,2.416667,8,16,11,Parts per million,0.15,0.8,8,NA
3635,6,1,10,6701 INTERNATIONAL BLVD,California,Alameda,Oakland,2001-12-06,Parts per billion,30.625,62,23,60,Parts per million,0.003833,0.007,0,6,Parts per billion,2.416667,8,16,11,Parts per million,0.266667,0.8,0,9
3636,6,1,10,6701 INTERNATIONAL BLVD,California,Alameda,Oakland,2001-12-06,Parts per billion,30.625,62,23,60,Parts per million,0.003833,0.007,0,6,Parts per billion,2.4,5,11,NA,Parts per million,0.15,0.8,8,NA
3637,6,1,10,6701 INTERNATIONAL BLVD,California,Alameda,Oakland,2001-12-06,Parts per billion,30.625,62,23,60,Parts per million,0.003833,0.007,0,6,Parts per billion,2.4,5,11,NA,Parts per million,0.266667,0.8,0,9
3638,6,1,10,6701 INTERNATIONAL BLVD,California,Alameda,Oakland,2001-12-07,Parts per billion,20.416667,32,22,30,Parts per million,0.00875,0.021,11,18,Parts per billion,1.625,5,10,7,Parts per million,0.641667,2.9,7,NA
3639,6,1,10,6701 INTERNATIONAL BLVD,California,Alameda,Oakland,2001-12-07,Parts per billion,20.416667,32,22,30,Parts per million,0.00875,0.021,11,18,Parts per billion,1.625,5,10,7,Parts per million,0.575,1.2,8,14
3640,6,1,10,6701 INTERNATIONAL BLVD,California,Alameda,Oakland,2001-12-07,Parts per billion,20.416667,32,22,30,Parts per million,0.00875,0.021,11,18,Parts per billion,1.5875,3,11,NA,Parts per million,0.641667,2.9,7,NA
3641,6,1,10,6701 INTERNATIONAL BLVD,California,Alameda,Oakland,2001-12-07,Parts per billion,20.416667,32,22,30,Parts per million,0.00875,0.021,11,18,Parts per billion,1.5875,3,11,NA,Parts per million,0.575,1.2,8,14
3642,6,1,10,6701 INTERNATIONAL BLVD,California,Alameda,Oakland,2001-12-08,Parts per billion,27.125,33,16,31,Parts per million,0.007875,0.034,23,29,Parts per billion,1.916667,4,4,6,Parts per million,1.1375,3.5,7,NA
3643,6,1,10,6701 INTERNATIONAL BLVD,California,Alameda,Oakland,2001-12-08,Parts per billion,27.125,33,16,31,Parts per million,0.007875,0.034,23,29,Parts per billion,1.916667,4,4,6,Parts per million,1.145833,1.9,10,22
3644,6,1,10,6701 INTERNATIONAL BLVD,California,Alameda,Oakland,2001-12-08,Parts per billion,27.125,33,16,31,Parts per million,0.007875,0.034,23,29,Parts per billion,1.8875,3,5,NA,Parts per million,1.1375,3.5,7,NA
3645,6,1,10,6701 INTERNATIONAL BLVD,California,Alameda,Oakland,2001-12-08,Parts per billion,27.125,33,16,31,Parts per million,0.007875,0.034,23,29,Parts per billion,1.8875,3,5,NA,Parts per million,1.145833,1.9,10,22
3646,6,1,10,6701 INTERNATIONAL BLVD,California,Alameda,Oakland,2001-12-09,Parts per billion,16.625,36,17,34,Parts per million,0.016,0.033,0,28,Parts per billion,2.041667,4,7,6,Parts per million,0.6375,4.3,20,NA
3647,6,1,10,6701 INTERNATIONAL BLVD,California,Alameda,Oakland,2001-12-09,Parts per billion,16.625,36,17,34,Parts per million,0.016,0.033,0,28,Parts per billion,2.041667,4,7,6,Parts per million,0.479167,1.8,22,20
3648,6,1,10,6701 INTERNATIONAL BLVD,California,Alameda,Oakland,2001-12-09,Parts per billion,16.625,36,17,34,Parts per million,0.016,0.033,0,28,Parts per billion,2.0125,3.3,8,NA,Parts per million,0.6375,4.3,20,NA
3649,6,1,10,6701 INTERNATIONAL BLVD,California,Alameda,Oakland,2001-12-09,Parts per billion,16.625,36,17,34,Parts per million,0.016,0.033,0,28,Parts per billion,2.0125,3.3,8,NA,Parts per million,0.479167,1.8,22,20
3650,6,1,10,6701 INTERNATIONAL BLVD,California,Alameda,Oakland,2001-12-10,Parts per billion,20.958333,40,23,38,Parts per million,0.01675,0.026,21,22,Parts per billion,1.458333,3,9,4,Parts per million,0.216667,0.8,5,NA
3651,6,1,10,6701 INTERNATIONAL BLVD,California,Alameda,Oakland,2001-12-10,Parts per billion,20.958333,40,23,38,Parts per million,0.01675,0.026,21,22,Parts per billion,1.458333,3,9,4,Parts per million,0.4625,1.8,0,20
3652,6,1,10,6701 INTERNATIONAL BLVD,California,Alameda,Oakland,2001-12-10,Parts per billion,20.958333,40,23,38,Parts per million,0.01675,0.026,21,22,Parts per billion,1.4375,2.3,11,NA,Parts per million,0.216667,0.8,5,NA
3653,6,1,10,6701 INTERNATIONAL BLVD,California,Alameda,Oakland,2001-12-10,Parts per billion,20.958333,40,23,38,Parts per million,0.01675,0.026,21,22,Parts per billion,1.4375,2.3,11,NA,Parts per million,0.4625,1.8,0,20
3654,6,1,10,6701 INTERNATIONAL BLVD,California,Alameda,Oakland,2001-12-11,Parts per billion,18.666667,33,18,31,Parts per million,0.015,0.022,0,19,Parts per billion,1.791667,4,13,6,Parts per million,0.225,0.9,7,NA
3655,6,1,10,6701 INTERNATIONAL BLVD,California,Alameda,Oakland,2001-12-11,Parts per billion,18.666667,33,18,31,Parts per million,0.015,0.022,0,19,Parts per billion,1.791667,4,13,6,Parts per million,0.216667,0.4,9,5
