X1,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
9842,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-01,Parts per billion,18.173913,33,17,31,Parts per million,0.010208,0.025,9,21,Parts per billion,2.826087,7,22,10,Parts per million,1.913043,5,21,NA
9843,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-01,Parts per billion,18.173913,33,17,31,Parts per million,0.010208,0.025,9,21,Parts per billion,2.826087,7,22,10,Parts per million,1.561111,3,23,34
9844,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-01,Parts per billion,18.173913,33,17,31,Parts per million,0.010208,0.025,9,21,Parts per billion,2.685714,6,23,NA,Parts per million,1.913043,5,21,NA
9845,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-01,Parts per billion,18.173913,33,17,31,Parts per million,0.010208,0.025,9,21,Parts per billion,2.685714,6,23,NA,Parts per million,1.561111,3,23,34
9846,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-02,Parts per billion,23,36,17,34,Parts per million,0.004708,0.011,9,9,Parts per billion,1.73913,4,0,6,Parts per million,1.217391,2,0,NA
9847,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-02,Parts per billion,23,36,17,34,Parts per million,0.004708,0.011,9,9,Parts per billion,1.73913,4,0,6,Parts per million,1.633333,3.4,1,39
9848,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-02,Parts per billion,23,36,17,34,Parts per million,0.004708,0.011,9,9,Parts per billion,1.628571,3.6,2,NA,Parts per million,1.217391,2,0,NA
9849,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-02,Parts per billion,23,36,17,34,Parts per million,0.004708,0.011,9,9,Parts per billion,1.628571,3.6,2,NA,Parts per million,1.633333,3.4,1,39
9850,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-03,Parts per billion,20.608696,28,10,26,Parts per million,0.00325,0.006,9,5,Parts per billion,2.130435,6,23,9,Parts per million,1.565217,4,23,NA
9851,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-03,Parts per billion,20.608696,28,10,26,Parts per million,0.00325,0.006,9,5,Parts per billion,2.130435,6,23,9,Parts per million,1.304167,2.3,23,26
9852,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-03,Parts per billion,20.608696,28,10,26,Parts per million,0.00325,0.006,9,5,Parts per billion,2.114286,5,23,NA,Parts per million,1.565217,4,23,NA
9853,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-03,Parts per billion,20.608696,28,10,26,Parts per million,0.00325,0.006,9,5,Parts per billion,2.114286,5,23,NA,Parts per million,1.304167,2.3,23,26
9854,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-04,Parts per billion,20.826087,30,13,28,Parts per million,0.002875,0.005,9,4,Parts per billion,2.347826,6,0,9,Parts per million,1.304348,4,0,NA
9855,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-04,Parts per billion,20.826087,30,13,28,Parts per million,0.002875,0.005,9,4,Parts per billion,2.347826,6,0,9,Parts per million,1.591667,2.8,1,32
9856,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-04,Parts per billion,20.826087,30,13,28,Parts per million,0.002875,0.005,9,4,Parts per billion,2.157143,5,2,NA,Parts per million,1.304348,4,0,NA
9857,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-04,Parts per billion,20.826087,30,13,28,Parts per million,0.002875,0.005,9,4,Parts per billion,2.157143,5,2,NA,Parts per million,1.591667,2.8,1,32
9858,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-05,Parts per billion,19.086957,29,17,27,Parts per million,0.010958,0.014,7,12,Parts per billion,1.043478,2,0,3,Parts per million,0.782609,1,0,NA
9859,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-05,Parts per billion,19.086957,29,17,27,Parts per million,0.010958,0.014,7,12,Parts per billion,1.043478,2,0,3,Parts per million,0.866667,1,0,11
9860,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-05,Parts per billion,19.086957,29,17,27,Parts per million,0.010958,0.014,7,12,Parts per billion,1.042857,1.3,2,NA,Parts per million,0.782609,1,0,NA
9861,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-05,Parts per billion,19.086957,29,17,27,Parts per million,0.010958,0.014,7,12,Parts per billion,1.042857,1.3,2,NA,Parts per million,0.866667,1,0,11
9862,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-06,Parts per billion,20.782609,30,17,28,Parts per million,0.012208,0.023,8,19,Parts per billion,1.521739,5,23,7,Parts per million,0.782609,3,22,NA
9863,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-06,Parts per billion,20.782609,30,17,28,Parts per million,0.012208,0.023,8,19,Parts per billion,1.521739,5,23,7,Parts per million,0.5125,1.8,23,20
9864,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-06,Parts per billion,20.782609,30,17,28,Parts per million,0.012208,0.023,8,19,Parts per billion,1.571429,4,23,NA,Parts per million,0.782609,3,22,NA
9865,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-06,Parts per billion,20.782609,30,17,28,Parts per million,0.012208,0.023,8,19,Parts per billion,1.571429,4,23,NA,Parts per million,0.5125,1.8,23,20
9866,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-07,Parts per billion,21.26087,27,17,25,Parts per million,0.005917,0.007,8,6,Parts per billion,1.782609,4,0,6,Parts per million,0.782609,2,0,NA
9867,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-07,Parts per billion,21.26087,27,17,25,Parts per million,0.005917,0.007,8,6,Parts per billion,1.782609,4,0,6,Parts per million,1.116667,2.1,1,24
9868,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-07,Parts per billion,21.26087,27,17,25,Parts per million,0.005917,0.007,8,6,Parts per billion,1.6,3.3,2,NA,Parts per million,0.782609,2,0,NA
9869,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-07,Parts per billion,21.26087,27,17,25,Parts per million,0.005917,0.007,8,6,Parts per billion,1.6,3.3,2,NA,Parts per million,1.116667,2.1,1,24
9870,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-08,Parts per billion,19.913043,27,0,25,Parts per million,0.004458,0.005,0,4,Parts per billion,1.130435,2,16,3,Parts per million,0.826087,1,0,NA
9871,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,2003-01-08,Parts per billion,19.913043,27,0,25,Parts per million,0.004458,0.005,0,4,Parts per billion,1.130435,2,16,3,Parts per million,0.695833,1,13,11
