X1,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
10552,6,29,14,"5558 California Ave., Bakersfield CA 93309",California,Kern,Bakersfield,2000-11-01,Parts per billion,25.608696,40,18,38,Parts per million,0.011708,0.031,9,26,Parts per billion,2.434783,6,5,9,Parts per million,0.717391,2,7,NA
10553,6,29,14,"5558 California Ave., Bakersfield CA 93309",California,Kern,Bakersfield,2000-11-01,Parts per billion,25.608696,40,18,38,Parts per million,0.011708,0.031,9,26,Parts per billion,2.434783,6,5,9,Parts per million,0.795833,1.3,0,15
10554,6,29,14,"5558 California Ave., Bakersfield CA 93309",California,Kern,Bakersfield,2000-11-01,Parts per billion,25.608696,40,18,38,Parts per million,0.011708,0.031,9,26,Parts per billion,2.285714,3.6,8,NA,Parts per million,0.717391,2,7,NA
10555,6,29,14,"5558 California Ave., Bakersfield CA 93309",California,Kern,Bakersfield,2000-11-01,Parts per billion,25.608696,40,18,38,Parts per million,0.011708,0.031,9,26,Parts per billion,2.285714,3.6,8,NA,Parts per million,0.795833,1.3,0,15
10556,6,29,14,"5558 California Ave., Bakersfield CA 93309",California,Kern,Bakersfield,2000-11-02,Parts per billion,29.608696,48,20,45,Parts per million,0.009667,0.026,10,22,Parts per billion,2.652174,4,5,6,Parts per million,0.73913,2.1,20,NA
10557,6,29,14,"5558 California Ave., Bakersfield CA 93309",California,Kern,Bakersfield,2000-11-02,Parts per billion,29.608696,48,20,45,Parts per million,0.009667,0.026,10,22,Parts per billion,2.652174,4,5,6,Parts per million,0.7,1.1,23,13
10558,6,29,14,"5558 California Ave., Bakersfield CA 93309",California,Kern,Bakersfield,2000-11-02,Parts per billion,29.608696,48,20,45,Parts per million,0.009667,0.026,10,22,Parts per billion,2.542857,3,8,NA,Parts per million,0.73913,2.1,20,NA
10559,6,29,14,"5558 California Ave., Bakersfield CA 93309",California,Kern,Bakersfield,2000-11-02,Parts per billion,29.608696,48,20,45,Parts per million,0.009667,0.026,10,22,Parts per billion,2.542857,3,8,NA,Parts per million,0.7,1.1,23,13
10560,6,29,14,"5558 California Ave., Bakersfield CA 93309",California,Kern,Bakersfield,2000-11-03,Parts per billion,32.590909,56,20,53,Parts per million,0.014125,0.038,10,32,Parts per billion,3.272727,5,6,7,Parts per million,1.069565,2.5,20,NA
10561,6,29,14,"5558 California Ave., Bakersfield CA 93309",California,Kern,Bakersfield,2000-11-03,Parts per billion,32.590909,56,20,53,Parts per million,0.014125,0.038,10,32,Parts per billion,3.272727,5,6,7,Parts per million,0.958333,1.6,23,18
10562,6,29,14,"5558 California Ave., Bakersfield CA 93309",California,Kern,Bakersfield,2000-11-03,Parts per billion,32.590909,56,20,53,Parts per million,0.014125,0.038,10,32,Parts per billion,3.257143,4.6,8,NA,Parts per million,1.069565,2.5,20,NA
10563,6,29,14,"5558 California Ave., Bakersfield CA 93309",California,Kern,Bakersfield,2000-11-03,Parts per billion,32.590909,56,20,53,Parts per million,0.014125,0.038,10,32,Parts per billion,3.257143,4.6,8,NA,Parts per million,0.958333,1.6,23,18
10564,6,29,14,"5558 California Ave., Bakersfield CA 93309",California,Kern,Bakersfield,2000-11-04,Parts per billion,30.782609,53,19,50,Parts per million,0.017042,0.047,10,40,Parts per billion,2.956522,7,7,10,Parts per million,0.904348,3,21,NA
10565,6,29,14,"5558 California Ave., Bakersfield CA 93309",California,Kern,Bakersfield,2000-11-04,Parts per billion,30.782609,53,19,50,Parts per million,0.017042,0.047,10,40,Parts per billion,2.956522,7,7,10,Parts per million,0.983333,1.9,1,22
10566,6,29,14,"5558 California Ave., Bakersfield CA 93309",California,Kern,Bakersfield,2000-11-04,Parts per billion,30.782609,53,19,50,Parts per million,0.017042,0.047,10,40,Parts per billion,2.814286,5.3,8,NA,Parts per million,0.904348,3,21,NA
