X1,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
26788,6,75,5,10 ARKANSAS ST.,California,San Francisco,San Francisco,2000-01-01,Parts per billion,17.652174,27,2,25,Parts per million,0.019333,0.029,14,25,Parts per billion,2.363636,3,5,4,Parts per million,0.43913,0.8,2,NA
26789,6,75,5,10 ARKANSAS ST.,California,San Francisco,San Francisco,2000-01-01,Parts per billion,17.652174,27,2,25,Parts per million,0.019333,0.029,14,25,Parts per billion,2.363636,3,5,4,Parts per million,0.455556,0.6,6,7
26790,6,75,5,10 ARKANSAS ST.,California,San Francisco,San Francisco,2000-01-01,Parts per billion,17.652174,27,2,25,Parts per million,0.019333,0.029,14,25,Parts per billion,2.314286,3,11,NA,Parts per million,0.43913,0.8,2,NA
26791,6,75,5,10 ARKANSAS ST.,California,San Francisco,San Francisco,2000-01-01,Parts per billion,17.652174,27,2,25,Parts per million,0.019333,0.029,14,25,Parts per billion,2.314286,3,11,NA,Parts per million,0.455556,0.6,6,7
26792,6,75,5,10 ARKANSAS ST.,California,San Francisco,San Francisco,2000-01-02,Parts per billion,19.304348,38,22,36,Parts per million,0.018292,0.028,10,24,Parts per billion,2.181818,3,5,4,Parts per million,0.421739,0.7,21,NA
26793,6,75,5,10 ARKANSAS ST.,California,San Francisco,San Francisco,2000-01-02,Parts per billion,19.304348,38,22,36,Parts per million,0.018292,0.028,10,24,Parts per billion,2.181818,3,5,4,Parts per million,0.4125,0.5,21,6
26794,6,75,5,10 ARKANSAS ST.,California,San Francisco,San Francisco,2000-01-02,Parts per billion,19.304348,38,22,36,Parts per million,0.018292,0.028,10,24,Parts per billion,2.128571,2.6,11,NA,Parts per million,0.421739,0.7,21,NA
26795,6,75,5,10 ARKANSAS ST.,California,San Francisco,San Francisco,2000-01-02,Parts per billion,19.304348,38,22,36,Parts per million,0.018292,0.028,10,24,Parts per billion,2.128571,2.6,11,NA,Parts per million,0.4125,0.5,21,6
26796,6,75,5,10 ARKANSAS ST.,California,San Francisco,San Francisco,2000-01-03,Parts per billion,35.521739,46,21,43,Parts per million,0.003958,0.009,8,8,Parts per billion,3.136364,5,12,7,Parts per million,1.086957,2.8,21,NA
26797,6,75,5,10 ARKANSAS ST.,California,San Francisco,San Francisco,2000-01-03,Parts per billion,35.521739,46,21,43,Parts per million,0.003958,0.009,8,8,Parts per billion,3.136364,5,12,7,Parts per million,0.929167,1.6,21,18
26798,6,75,5,10 ARKANSAS ST.,California,San Francisco,San Francisco,2000-01-03,Parts per billion,35.521739,46,21,43,Parts per million,0.003958,0.009,8,8,Parts per billion,3.157143,4.6,14,NA,Parts per million,1.086957,2.8,21,NA
26799,6,75,5,10 ARKANSAS ST.,California,San Francisco,San Francisco,2000-01-03,Parts per billion,35.521739,46,21,43,Parts per million,0.003958,0.009,8,8,Parts per billion,3.157143,4.6,14,NA,Parts per million,0.929167,1.6,21,18
26800,6,75,5,10 ARKANSAS ST.,California,San Francisco,San Francisco,2000-01-04,Parts per billion,37.73913,46,9,43,Parts per million,0.003917,0.008,21,7,Parts per billion,3,5,9,7,Parts per million,1.143478,2.1,6,NA
26801,6,75,5,10 ARKANSAS ST.,California,San Francisco,San Francisco,2000-01-04,Parts per billion,37.73913,46,9,43,Parts per million,0.003917,0.008,21,7,Parts per billion,3,5,9,7,Parts per million,1.25,1.6,0,18
26802,6,75,5,10 ARKANSAS ST.,California,San Francisco,San Francisco,2000-01-04,Parts per billion,37.73913,46,9,43,Parts per million,0.003917,0.008,21,7,Parts per billion,2.971429,4.3,11,NA,Parts per million,1.143478,2.1,6,NA
26803,6,75,5,10 ARKANSAS ST.,California,San Francisco,San Francisco,2000-01-04,Parts per billion,37.73913,46,9,43,Parts per million,0.003917,0.008,21,7,Parts per billion,2.971429,4.3,11,NA,Parts per million,1.25,1.6,0,18
26804,6,75,5,10 ARKANSAS ST.,California,San Francisco,San Francisco,2000-01-05,Parts per billion,31,49,22,46,Parts per million,0.005875,0.012,9,10,Parts per billion,2.772727,5,10,7,Parts per million,1.217391,3,21,NA
