X1,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
38502,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2009-02-10,Parts per billion,15.952381,35,8,33,Parts per million,0.01975,0.028,19,24,Parts per billion,0.153846,1,18,1,Parts per million,0.426667,1.47,8,NA
38503,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2009-02-10,Parts per billion,15.952381,35,8,33,Parts per million,0.01975,0.028,19,24,Parts per billion,0.153846,1,18,1,Parts per million,0.454167,0.9,9,10
38504,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2009-02-10,Parts per billion,15.952381,35,8,33,Parts per million,0.01975,0.028,19,24,Parts per billion,0.2,0.6,20,NA,Parts per million,0.426667,1.47,8,NA
38505,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2009-02-10,Parts per billion,15.952381,35,8,33,Parts per million,0.01975,0.028,19,24,Parts per billion,0.2,0.6,20,NA,Parts per million,0.454167,0.9,9,10
38506,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2009-02-11,Parts per billion,17.5,36,20,34,Parts per million,0.014,0.026,9,22,Parts per billion,0.409091,4,8,6,Parts per million,0.391818,0.9,21,NA
38507,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2009-02-11,Parts per billion,17.5,36,20,34,Parts per million,0.014,0.026,9,22,Parts per billion,0.409091,4,8,6,Parts per million,0.3375,0.6,22,7
38508,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2009-02-11,Parts per billion,17.5,36,20,34,Parts per million,0.014,0.026,9,22,Parts per billion,0.383333,1.3,8,NA,Parts per million,0.391818,0.9,21,NA
38509,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2009-02-11,Parts per billion,17.5,36,20,34,Parts per million,0.014,0.026,9,22,Parts per billion,0.383333,1.3,8,NA,Parts per million,0.3375,0.6,22,7
38510,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2009-02-12,Parts per billion,17,32,7,30,Parts per million,0.017583,0.026,23,22,Parts per billion,0.173913,1,4,1,Parts per million,0.361739,0.93,7,NA
38511,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2009-02-12,Parts per billion,17,32,7,30,Parts per million,0.017583,0.026,23,22,Parts per billion,0.173913,1,4,1,Parts per million,0.4125,0.6,0,7
38512,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2009-02-12,Parts per billion,17,32,7,30,Parts per million,0.017583,0.026,23,22,Parts per billion,0.128571,0.6,8,NA,Parts per million,0.361739,0.93,7,NA
38513,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2009-02-12,Parts per billion,17,32,7,30,Parts per million,0.017583,0.026,23,22,Parts per billion,0.128571,0.6,8,NA,Parts per million,0.4125,0.6,0,7
38514,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2009-02-13,Parts per billion,11.217391,33,7,31,Parts per million,0.024583,0.031,10,26,Parts per billion,0.043478,1,8,1,Parts per million,0.281304,0.55,8,NA
38515,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2009-02-13,Parts per billion,11.217391,33,7,31,Parts per million,0.024583,0.031,10,26,Parts per billion,0.043478,1,8,1,Parts per million,0.283333,0.3,0,3
38516,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2009-02-13,Parts per billion,11.217391,33,7,31,Parts per million,0.024583,0.031,10,26,Parts per billion,0.042857,0.3,8,NA,Parts per million,0.281304,0.55,8,NA
38517,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2009-02-13,Parts per billion,11.217391,33,7,31,Parts per million,0.024583,0.031,10,26,Parts per billion,0.042857,0.3,8,NA,Parts per million,0.283333,0.3,0,3
38518,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2009-02-14,Parts per billion,6.086957,11,18,10,Parts per million,0.027292,0.032,22,27,Parts per billion,0,0,0,0,Parts per million,0.220435,0.27,9,NA
38519,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2009-02-14,Parts per billion,6.086957,11,18,10,Parts per million,0.027292,0.032,22,27,Parts per billion,0,0,0,0,Parts per million,0.216667,0.3,0,3
38520,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2009-02-14,Parts per billion,6.086957,11,18,10,Parts per million,0.027292,0.032,22,27,Parts per billion,0,0,2,NA,Parts per million,0.220435,0.27,9,NA
38521,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2009-02-14,Parts per billion,6.086957,11,18,10,Parts per million,0.027292,0.032,22,27,Parts per billion,0,0,2,NA,Parts per million,0.216667,0.3,0,3
38522,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2009-02-15,Parts per billion,6.130435,17,17,16,Parts per million,0.026792,0.032,0,27,Parts per billion,0,0,0,0,Parts per million,0.226087,0.41,17,NA
38523,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2009-02-15,Parts per billion,6.130435,17,17,16,Parts per million,0.026792,0.032,0,27,Parts per billion,0,0,0,0,Parts per million,0.229167,0.3,17,3
38524,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2009-02-15,Parts per billion,6.130435,17,17,16,Parts per million,0.026792,0.032,0,27,Parts per billion,0,0,2,NA,Parts per million,0.226087,0.41,17,NA
38525,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2009-02-15,Parts per billion,6.130435,17,17,16,Parts per million,0.026792,0.032,0,27,Parts per billion,0,0,2,NA,Parts per million,0.229167,0.3,17,3
38526,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2009-02-16,Parts per billion,6.565217,14,9,13,Parts per million,0.028875,0.031,0,26,Parts per billion,0,0,0,0,Parts per million,0.212174,0.28,16,NA
38527,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2009-02-16,Parts per billion,6.565217,14,9,13,Parts per million,0.028875,0.031,0,26,Parts per billion,0,0,0,0,Parts per million,0.204167,0.3,0,3
