X1,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
34000,6,87,3,Center St,California,Santa Cruz,Davenport,2000-01-01,Parts per billion,5.272727,19,17,18,Parts per million,0.025917,0.028,14,24,Parts per billion,2.590909,7,17,10,Parts per million,0.268182,0.3,0,NA
34001,6,87,3,Center St,California,Santa Cruz,Davenport,2000-01-01,Parts per billion,5.272727,19,17,18,Parts per million,0.025917,0.028,14,24,Parts per billion,2.590909,7,17,10,Parts per million,0.273684,0.3,10,3
34002,6,87,3,Center St,California,Santa Cruz,Davenport,2000-01-01,Parts per billion,5.272727,19,17,18,Parts per million,0.025917,0.028,14,24,Parts per billion,2.457143,4,17,NA,Parts per million,0.268182,0.3,0,NA
34003,6,87,3,Center St,California,Santa Cruz,Davenport,2000-01-01,Parts per billion,5.272727,19,17,18,Parts per million,0.025917,0.028,14,24,Parts per billion,2.457143,4,17,NA,Parts per million,0.273684,0.3,10,3
34004,6,87,3,Center St,California,Santa Cruz,Davenport,2000-01-02,Parts per billion,5.590909,14,0,13,Parts per million,0.028083,0.032,8,27,Parts per billion,2.681818,5,10,7,Parts per million,0.309091,0.4,16,NA
34005,6,87,3,Center St,California,Santa Cruz,Davenport,2000-01-02,Parts per billion,5.590909,14,0,13,Parts per million,0.028083,0.032,8,27,Parts per billion,2.681818,5,10,7,Parts per million,0.3,0.3,0,3
34006,6,87,3,Center St,California,Santa Cruz,Davenport,2000-01-02,Parts per billion,5.590909,14,0,13,Parts per million,0.028083,0.032,8,27,Parts per billion,2.685714,4.6,11,NA,Parts per million,0.309091,0.4,16,NA
34007,6,87,3,Center St,California,Santa Cruz,Davenport,2000-01-02,Parts per billion,5.590909,14,0,13,Parts per million,0.028083,0.032,8,27,Parts per billion,2.685714,4.6,11,NA,Parts per million,0.3,0.3,0,3
34008,6,87,3,Center St,California,Santa Cruz,Davenport,2000-01-03,Parts per billion,5.958333,13,16,12,Parts per million,0.019208,0.025,9,21,Parts per billion,2,2,0,3,Parts per million,0.4125,0.6,7,NA
34009,6,87,3,Center St,California,Santa Cruz,Davenport,2000-01-03,Parts per billion,5.958333,13,16,12,Parts per million,0.019208,0.025,9,21,Parts per billion,2,2,0,3,Parts per million,0.383333,0.5,20,6
34010,6,87,3,Center St,California,Santa Cruz,Davenport,2000-01-03,Parts per billion,5.958333,13,16,12,Parts per million,0.019208,0.025,9,21,Parts per billion,2,2,2,NA,Parts per million,0.4125,0.6,7,NA
34011,6,87,3,Center St,California,Santa Cruz,Davenport,2000-01-03,Parts per billion,5.958333,13,16,12,Parts per million,0.019208,0.025,9,21,Parts per billion,2,2,2,NA,Parts per million,0.383333,0.5,20,6
34012,6,87,3,Center St,California,Santa Cruz,Davenport,2000-01-04,Parts per billion,6.363636,16,7,15,Parts per million,0.014667,0.02,11,17,Parts per billion,2,2,0,3,Parts per million,0.413636,0.7,13,NA
34013,6,87,3,Center St,California,Santa Cruz,Davenport,2000-01-04,Parts per billion,6.363636,16,7,15,Parts per million,0.014667,0.02,11,17,Parts per billion,2,2,0,3,Parts per million,0.466667,0.6,13,7
34014,6,87,3,Center St,California,Santa Cruz,Davenport,2000-01-04,Parts per billion,6.363636,16,7,15,Parts per million,0.014667,0.02,11,17,Parts per billion,2,2,2,NA,Parts per million,0.413636,0.7,13,NA
