X1,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
36856,6,111,3001,"545 CENTRAL AVENUE, OXNARD, CA  93030",California,Ventura,Not in a city,2000-01-01,Parts per billion,7.565217,15,21,14,Parts per million,0.01975,0.036,10,31,Parts per billion,3.521739,6,20,9,Parts per million,0.286957,0.4,0,NA
36857,6,111,3001,"545 CENTRAL AVENUE, OXNARD, CA  93030",California,Ventura,Not in a city,2000-01-01,Parts per billion,7.565217,15,21,14,Parts per million,0.01975,0.036,10,31,Parts per billion,3.521739,6,20,9,Parts per million,0.283333,0.3,6,3
36858,6,111,3001,"545 CENTRAL AVENUE, OXNARD, CA  93030",California,Ventura,Not in a city,2000-01-01,Parts per billion,7.565217,15,21,14,Parts per million,0.01975,0.036,10,31,Parts per billion,3.628571,4.6,20,NA,Parts per million,0.286957,0.4,0,NA
36859,6,111,3001,"545 CENTRAL AVENUE, OXNARD, CA  93030",California,Ventura,Not in a city,2000-01-01,Parts per billion,7.565217,15,21,14,Parts per million,0.01975,0.036,10,31,Parts per billion,3.628571,4.6,20,NA,Parts per million,0.283333,0.3,6,3
36860,6,111,3001,"545 CENTRAL AVENUE, OXNARD, CA  93030",California,Ventura,Not in a city,2000-01-02,Parts per billion,6.826087,14,20,13,Parts per million,0.022375,0.033,9,28,Parts per billion,0.304348,2,3,3,Parts per million,0.2,0.3,0,NA
36861,6,111,3001,"545 CENTRAL AVENUE, OXNARD, CA  93030",California,Ventura,Not in a city,2000-01-02,Parts per billion,6.826087,14,20,13,Parts per million,0.022375,0.033,9,28,Parts per billion,0.304348,2,3,3,Parts per million,0.233333,0.3,0,3
36862,6,111,3001,"545 CENTRAL AVENUE, OXNARD, CA  93030",California,Ventura,Not in a city,2000-01-02,Parts per billion,6.826087,14,20,13,Parts per million,0.022375,0.033,9,28,Parts per billion,0.228571,1,5,NA,Parts per million,0.2,0.3,0,NA
36863,6,111,3001,"545 CENTRAL AVENUE, OXNARD, CA  93030",California,Ventura,Not in a city,2000-01-02,Parts per billion,6.826087,14,20,13,Parts per million,0.022375,0.033,9,28,Parts per billion,0.228571,1,5,NA,Parts per million,0.233333,0.3,0,3
36864,6,111,3001,"545 CENTRAL AVENUE, OXNARD, CA  93030",California,Ventura,Not in a city,2000-01-03,Parts per billion,20.608696,37,17,35,Parts per million,0.013458,0.026,9,22,Parts per billion,1.130435,4,17,6,Parts per million,0.434783,0.9,17,NA
36865,6,111,3001,"545 CENTRAL AVENUE, OXNARD, CA  93030",California,Ventura,Not in a city,2000-01-03,Parts per billion,20.608696,37,17,35,Parts per million,0.013458,0.026,9,22,Parts per billion,1.130435,4,17,6,Parts per million,0.4125,0.6,21,7
