X1,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
97067,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-01,Parts per billion,14,20,1,19,Parts per million,0.013917,0.021,9,18,Parts per billion,0.26087,1,0,1,Parts per million,0.756522,2.1,5,NA
97068,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-01,Parts per billion,14,20,1,19,Parts per million,0.013917,0.021,9,18,Parts per billion,0.26087,1,0,1,Parts per million,0.722222,1.6,6,18
97069,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-01,Parts per billion,14,20,1,19,Parts per million,0.013917,0.021,9,18,Parts per billion,0.185714,1,2,NA,Parts per million,0.756522,2.1,5,NA
97070,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-01,Parts per billion,14,20,1,19,Parts per million,0.013917,0.021,9,18,Parts per billion,0.185714,1,2,NA,Parts per million,0.722222,1.6,6,18
97071,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-02,Parts per billion,11.347826,34,21,32,Parts per million,0.013833,0.022,10,19,Parts per billion,0.130435,1,21,1,Parts per million,0.591304,2.6,23,NA
97072,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-02,Parts per billion,11.347826,34,21,32,Parts per million,0.013833,0.022,10,19,Parts per billion,0.130435,1,21,1,Parts per million,0.425,1.2,23,14
97073,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-02,Parts per billion,11.347826,34,21,32,Parts per million,0.013833,0.022,10,19,Parts per billion,0.142857,1,23,NA,Parts per million,0.591304,2.6,23,NA
97074,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-02,Parts per billion,11.347826,34,21,32,Parts per million,0.013833,0.022,10,19,Parts per billion,0.142857,1,23,NA,Parts per million,0.425,1.2,23,14
97075,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-03,Parts per billion,30.130435,49,9,46,Parts per million,0.00625,0.017,9,14,Parts per billion,0.73913,2,6,3,Parts per million,1.93913,5.5,7,NA
97076,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-03,Parts per billion,30.130435,49,9,46,Parts per million,0.00625,0.017,9,14,Parts per billion,0.73913,2,6,3,Parts per million,1.8625,2.9,9,33
97077,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-03,Parts per billion,30.130435,49,9,46,Parts per million,0.00625,0.017,9,14,Parts per billion,0.742857,2,8,NA,Parts per million,1.93913,5.5,7,NA
97078,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-03,Parts per billion,30.130435,49,9,46,Parts per million,0.00625,0.017,9,14,Parts per billion,0.742857,2,8,NA,Parts per million,1.8625,2.9,9,33
97079,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-04,Parts per billion,39.608696,114,11,103,Parts per million,0.013083,0.025,20,21,Parts per billion,2.086957,5,11,7,Parts per million,2.343478,6.3,8,NA
97080,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-04,Parts per billion,39.608696,114,11,103,Parts per million,0.013083,0.025,20,21,Parts per billion,2.086957,5,11,7,Parts per million,2.654167,4,11,45
97081,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-04,Parts per billion,39.608696,114,11,103,Parts per million,0.013083,0.025,20,21,Parts per billion,2.1,3.6,11,NA,Parts per million,2.343478,6.3,8,NA
97082,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-04,Parts per billion,39.608696,114,11,103,Parts per million,0.013083,0.025,20,21,Parts per billion,2.1,3.6,11,NA,Parts per million,2.654167,4,11,45
97083,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-05,Parts per billion,24.608696,47,15,44,Parts per million,0.024667,0.035,22,30,Parts per billion,1.217391,2,13,3,Parts per million,0.613043,1.3,18,NA
97084,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-05,Parts per billion,24.608696,47,15,44,Parts per million,0.024667,0.035,22,30,Parts per billion,1.217391,2,13,3,Parts per million,0.608333,1,19,11
97085,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-05,Parts per billion,24.608696,47,15,44,Parts per million,0.024667,0.035,22,30,Parts per billion,1.257143,1.6,14,NA,Parts per million,0.613043,1.3,18,NA
97086,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-05,Parts per billion,24.608696,47,15,44,Parts per million,0.024667,0.035,22,30,Parts per billion,1.257143,1.6,14,NA,Parts per million,0.608333,1,19,11
97087,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-06,Parts per billion,28.043478,59,17,56,Parts per million,0.016,0.033,0,28,Parts per billion,5.695652,36,15,51,Parts per million,2.143478,8.5,21,NA
97088,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-06,Parts per billion,28.043478,59,17,56,Parts per million,0.016,0.033,0,28,Parts per billion,5.695652,36,15,51,Parts per million,1.245833,5.4,23,60
97089,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-06,Parts per billion,28.043478,59,17,56,Parts per million,0.016,0.033,0,28,Parts per billion,6.171429,24.3,17,NA,Parts per million,2.143478,8.5,21,NA
97090,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-06,Parts per billion,28.043478,59,17,56,Parts per million,0.016,0.033,0,28,Parts per billion,6.171429,24.3,17,NA,Parts per million,1.245833,5.4,23,60
97091,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-07,Parts per billion,30.826087,57,9,54,Parts per million,0.008083,0.021,9,18,Parts per billion,1.782609,4,0,6,Parts per million,1.243478,4,8,NA
97092,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-07,Parts per billion,30.826087,57,9,54,Parts per million,0.008083,0.021,9,18,Parts per billion,1.782609,4,0,6,Parts per million,2.0125,5.4,0,60
97093,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-07,Parts per billion,30.826087,57,9,54,Parts per million,0.008083,0.021,9,18,Parts per billion,1.685714,3,2,NA,Parts per million,1.243478,4,8,NA
97094,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-07,Parts per billion,30.826087,57,9,54,Parts per million,0.008083,0.021,9,18,Parts per billion,1.685714,3,2,NA,Parts per million,2.0125,5.4,0,60
97095,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-08,Parts per billion,31.304348,47,17,44,Parts per million,0.009292,0.021,9,18,Parts per billion,1.043478,2,10,3,Parts per million,2.186957,5.6,21,NA
97096,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-08,Parts per billion,31.304348,47,17,44,Parts per million,0.009292,0.021,9,18,Parts per billion,1.043478,2,10,3,Parts per million,1.708333,3.3,23,38
97097,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-08,Parts per billion,31.304348,47,17,44,Parts per million,0.009292,0.021,9,18,Parts per billion,1.028571,2,23,NA,Parts per million,2.186957,5.6,21,NA
97098,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-08,Parts per billion,31.304348,47,17,44,Parts per million,0.009292,0.021,9,18,Parts per billion,1.028571,2,23,NA,Parts per million,1.708333,3.3,23,38
97099,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-09,Parts per billion,22.478261,39,16,37,Parts per million,0.022083,0.03,22,25,Parts per billion,1.304348,2,0,3,Parts per million,0.882609,4.3,0,NA
97100,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-09,Parts per billion,22.478261,39,16,37,Parts per million,0.022083,0.03,22,25,Parts per billion,1.304348,2,0,3,Parts per million,1.479167,3.8,1,43
97101,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-09,Parts per billion,22.478261,39,16,37,Parts per million,0.022083,0.03,22,25,Parts per billion,1.257143,2,8,NA,Parts per million,0.882609,4.3,0,NA
97102,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-09,Parts per billion,22.478261,39,16,37,Parts per million,0.022083,0.03,22,25,Parts per billion,1.257143,2,8,NA,Parts per million,1.479167,3.8,1,43
97103,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-10,Parts per billion,31.869565,50,18,47,Parts per million,0.013,0.025,0,21,Parts per billion,1.695652,4,20,6,Parts per million,2.078261,7,21,NA
97104,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-10,Parts per billion,31.869565,50,18,47,Parts per million,0.013,0.025,0,21,Parts per billion,1.695652,4,20,6,Parts per million,1.216667,4.6,23,52
97105,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-10,Parts per billion,31.869565,50,18,47,Parts per million,0.013,0.025,0,21,Parts per billion,1.785714,3.6,23,NA,Parts per million,2.078261,7,21,NA
97106,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-10,Parts per billion,31.869565,50,18,47,Parts per million,0.013,0.025,0,21,Parts per billion,1.785714,3.6,23,NA,Parts per million,1.216667,4.6,23,52
97107,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-11,Parts per billion,40.173913,70,11,68,Parts per million,0.005833,0.015,9,13,Parts per billion,2.391304,6,7,9,Parts per million,2.386957,7.7,7,NA
97108,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-11,Parts per billion,40.173913,70,11,68,Parts per million,0.005833,0.015,9,13,Parts per billion,2.391304,6,7,9,Parts per million,2.875,5.1,1,57
97109,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-11,Parts per billion,40.173913,70,11,68,Parts per million,0.005833,0.015,9,13,Parts per billion,2.485714,4.6,8,NA,Parts per million,2.386957,7.7,7,NA
97110,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-11,Parts per billion,40.173913,70,11,68,Parts per million,0.005833,0.015,9,13,Parts per billion,2.485714,4.6,8,NA,Parts per million,2.875,5.1,1,57
97111,80,2,3,"13891 CAJEME, LA MESA",Country Of Mexico,BAJA CALIFORNIA NORTE,Tijuana,2006-01-12,Parts per billion,42.826087,61,8,58,Parts per million,0.007875,0.021,9,18,Parts per billion,2.347826,6,10,9,Parts per million,2.791304,7.1,8,NA
