X1,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
52346,10,3,2004,MLK BLVD AND JUSTISON ST.,Delaware,New Castle,Wilmington,2011-01-01,Parts per billion,25.916667,41,0,39,Parts per million,0.01325,0.021,11,18,Parts per billion,2.5,6.3,9,9,Parts per million,0.716917,1.787,3,NA
52347,10,3,2004,MLK BLVD AND JUSTISON ST.,Delaware,New Castle,Wilmington,2011-01-01,Parts per billion,25.916667,41,0,39,Parts per million,0.01325,0.021,11,18,Parts per billion,2.5,6.3,9,9,Parts per million,0.736842,1.5,5,17
52348,10,3,2004,MLK BLVD AND JUSTISON ST.,Delaware,New Castle,Wilmington,2011-01-01,Parts per billion,25.916667,41,0,39,Parts per million,0.01325,0.021,11,18,Parts per billion,2.475,5.5,11,NA,Parts per million,0.716917,1.787,3,NA
52349,10,3,2004,MLK BLVD AND JUSTISON ST.,Delaware,New Castle,Wilmington,2011-01-01,Parts per billion,25.916667,41,0,39,Parts per million,0.01325,0.021,11,18,Parts per billion,2.475,5.5,11,NA,Parts per million,0.736842,1.5,5,17
52350,10,3,2004,MLK BLVD AND JUSTISON ST.,Delaware,New Castle,Wilmington,2011-01-02,Parts per billion,15.208333,34,0,32,Parts per million,0.019458,0.026,18,22,Parts per billion,1.65,3.6,20,4,Parts per million,0.2625,0.585,0,NA
52351,10,3,2004,MLK BLVD AND JUSTISON ST.,Delaware,New Castle,Wilmington,2011-01-02,Parts per billion,15.208333,34,0,32,Parts per million,0.019458,0.026,18,22,Parts per billion,1.65,3.6,20,4,Parts per million,0.2875,0.4,1,5
52352,10,3,2004,MLK BLVD AND JUSTISON ST.,Delaware,New Castle,Wilmington,2011-01-02,Parts per billion,15.208333,34,0,32,Parts per million,0.019458,0.026,18,22,Parts per billion,1.625,3.2,20,NA,Parts per million,0.2625,0.585,0,NA
52353,10,3,2004,MLK BLVD AND JUSTISON ST.,Delaware,New Castle,Wilmington,2011-01-02,Parts per billion,15.208333,34,0,32,Parts per million,0.019458,0.026,18,22,Parts per billion,1.625,3.2,20,NA,Parts per million,0.2875,0.4,1,5
52354,10,3,2004,MLK BLVD AND JUSTISON ST.,Delaware,New Castle,Wilmington,2011-01-03,Parts per billion,25.166667,47,23,44,Parts per million,0.012792,0.024,9,20,Parts per billion,1.704167,3,19,4,Parts per million,0.310333,0.717,21,NA
52355,10,3,2004,MLK BLVD AND JUSTISON ST.,Delaware,New Castle,Wilmington,2011-01-03,Parts per billion,25.166667,47,23,44,Parts per million,0.012792,0.024,9,20,Parts per billion,1.704167,3,19,4,Parts per million,0.245833,0.5,22,6
