X1,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
51242,13,89,2,"2390-B Wildcat Road, Decatur GA 30034",Georgia,DeKalb,Not in a city,2010-10-01,Parts per billion,16.833333,31,0,29,Parts per million,0.024417,0.048,9,41,Parts per billion,0.525,1,8,1,Parts per million,0.280583,0.471,7,NA
51243,13,89,2,"2390-B Wildcat Road, Decatur GA 30034",Georgia,DeKalb,Not in a city,2010-10-01,Parts per billion,16.833333,31,0,29,Parts per million,0.024417,0.048,9,41,Parts per billion,0.525,1,8,1,Parts per million,0.279167,0.4,7,5
51244,13,89,2,"2390-B Wildcat Road, Decatur GA 30034",Georgia,DeKalb,Not in a city,2010-10-01,Parts per billion,16.833333,31,0,29,Parts per million,0.024417,0.048,9,41,Parts per billion,0.5125,0.9,11,NA,Parts per million,0.280583,0.471,7,NA
51245,13,89,2,"2390-B Wildcat Road, Decatur GA 30034",Georgia,DeKalb,Not in a city,2010-10-01,Parts per billion,16.833333,31,0,29,Parts per million,0.024417,0.048,9,41,Parts per billion,0.5125,0.9,11,NA,Parts per million,0.279167,0.4,7,5
51246,13,89,2,"2390-B Wildcat Road, Decatur GA 30034",Georgia,DeKalb,Not in a city,2010-10-02,Parts per billion,18.333333,46,20,43,Parts per million,0.0235,0.053,10,45,Parts per billion,0.929167,8,16,11,Parts per million,0.318545,0.795,22,NA
51247,13,89,2,"2390-B Wildcat Road, Decatur GA 30034",Georgia,DeKalb,Not in a city,2010-10-02,Parts per billion,18.333333,46,20,43,Parts per million,0.0235,0.053,10,45,Parts per billion,0.929167,8,16,11,Parts per million,0.275,0.5,23,6
51248,13,89,2,"2390-B Wildcat Road, Decatur GA 30034",Georgia,DeKalb,Not in a city,2010-10-02,Parts per billion,18.333333,46,20,43,Parts per million,0.0235,0.053,10,45,Parts per billion,0.9,4.7,17,NA,Parts per million,0.318545,0.795,22,NA
51249,13,89,2,"2390-B Wildcat Road, Decatur GA 30034",Georgia,DeKalb,Not in a city,2010-10-02,Parts per billion,18.333333,46,20,43,Parts per million,0.0235,0.053,10,45,Parts per billion,0.9,4.7,17,NA,Parts per million,0.275,0.5,23,6
51250,13,89,2,"2390-B Wildcat Road, Decatur GA 30034",Georgia,DeKalb,Not in a city,2010-10-03,Parts per billion,9.041667,26,0,25,Parts per million,0.024917,0.036,9,31,Parts per billion,1.368182,11.1,11,16,Parts per million,0.185917,0.498,0,NA
51251,13,89,2,"2390-B Wildcat Road, Decatur GA 30034",Georgia,DeKalb,Not in a city,2010-10-03,Parts per billion,9.041667,26,0,25,Parts per million,0.024917,0.036,9,31,Parts per billion,1.368182,11.1,11,16,Parts per million,0.241667,0.5,0,6
51252,13,89,2,"2390-B Wildcat Road, Decatur GA 30034",Georgia,DeKalb,Not in a city,2010-10-03,Parts per billion,9.041667,26,0,25,Parts per million,0.024917,0.036,9,31,Parts per billion,1.55,5.4,11,NA,Parts per million,0.185917,0.498,0,NA
51253,13,89,2,"2390-B Wildcat Road, Decatur GA 30034",Georgia,DeKalb,Not in a city,2010-10-03,Parts per billion,9.041667,26,0,25,Parts per million,0.024917,0.036,9,31,Parts per billion,1.55,5.4,11,NA,Parts per million,0.241667,0.5,0,6
51254,13,89,2,"2390-B Wildcat Road, Decatur GA 30034",Georgia,DeKalb,Not in a city,2010-10-04,Parts per billion,9.833333,19,19,18,Parts per million,0.016458,0.027,11,23,Parts per billion,0.683333,6.9,12,9,Parts per million,0.169875,0.231,7,NA
51255,13,89,2,"2390-B Wildcat Road, Decatur GA 30034",Georgia,DeKalb,Not in a city,2010-10-04,Parts per billion,9.833333,19,19,18,Parts per million,0.016458,0.027,11,23,Parts per billion,0.683333,6.9,12,9,Parts per million,0.170833,0.2,7,2
51256,13,89,2,"2390-B Wildcat Road, Decatur GA 30034",Georgia,DeKalb,Not in a city,2010-10-04,Parts per billion,9.833333,19,19,18,Parts per million,0.016458,0.027,11,23,Parts per billion,0.6375,3.5,14,NA,Parts per million,0.169875,0.231,7,NA
51257,13,89,2,"2390-B Wildcat Road, Decatur GA 30034",Georgia,DeKalb,Not in a city,2010-10-04,Parts per billion,9.833333,19,19,18,Parts per million,0.016458,0.027,11,23,Parts per billion,0.6375,3.5,14,NA,Parts per million,0.170833,0.2,7,2
51258,13,89,2,"2390-B Wildcat Road, Decatur GA 30034",Georgia,DeKalb,Not in a city,2010-10-05,Parts per billion,15.291667,39,20,37,Parts per million,0.015667,0.036,11,31,Parts per billion,0.308333,0.7,19,0,Parts per million,0.24675,0.482,21,NA
51259,13,89,2,"2390-B Wildcat Road, Decatur GA 30034",Georgia,DeKalb,Not in a city,2010-10-05,Parts per billion,15.291667,39,20,37,Parts per million,0.015667,0.036,11,31,Parts per billion,0.308333,0.7,19,0,Parts per million,0.225,0.3,10,3
51260,13,89,2,"2390-B Wildcat Road, Decatur GA 30034",Georgia,DeKalb,Not in a city,2010-10-05,Parts per billion,15.291667,39,20,37,Parts per million,0.015667,0.036,11,31,Parts per billion,0.275,0.6,20,NA,Parts per million,0.24675,0.482,21,NA
51261,13,89,2,"2390-B Wildcat Road, Decatur GA 30034",Georgia,DeKalb,Not in a city,2010-10-05,Parts per billion,15.291667,39,20,37,Parts per million,0.015667,0.036,11,31,Parts per billion,0.275,0.6,20,NA,Parts per million,0.225,0.3,10,3
51262,13,89,2,"2390-B Wildcat Road, Decatur GA 30034",Georgia,DeKalb,Not in a city,2010-10-06,Parts per billion,21.75,51,19,48,Parts per million,0.015333,0.04,10,34,Parts per billion,0.754167,1.9,9,1,Parts per million,0.378792,0.6,7,NA
51263,13,89,2,"2390-B Wildcat Road, Decatur GA 30034",Georgia,DeKalb,Not in a city,2010-10-06,Parts per billion,21.75,51,19,48,Parts per million,0.015333,0.04,10,34,Parts per billion,0.754167,1.9,9,1,Parts per million,0.370833,0.5,3,6
51264,13,89,2,"2390-B Wildcat Road, Decatur GA 30034",Georgia,DeKalb,Not in a city,2010-10-06,Parts per billion,21.75,51,19,48,Parts per million,0.015333,0.04,10,34,Parts per billion,0.725,1.5,11,NA,Parts per million,0.378792,0.6,7,NA
