X1,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
49237,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-04-30,Parts per billion,7.65,25,23,24,Parts per million,0.0075,0.008,22,7,Parts per billion,0.120833,0.6,23,0,Parts per million,0.178583,0.338,6,NA
49238,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-04-30,Parts per billion,7.65,25,23,24,Parts per million,0.0075,0.008,22,7,Parts per billion,0.120833,0.6,23,0,Parts per million,0.179167,0.2,0,2
49239,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-04-30,Parts per billion,7.65,25,23,24,Parts per million,0.0075,0.008,22,7,Parts per billion,0.1125,0.3,11,NA,Parts per million,0.178583,0.338,6,NA
49240,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-04-30,Parts per billion,7.65,25,23,24,Parts per million,0.0075,0.008,22,7,Parts per billion,0.1125,0.3,11,NA,Parts per million,0.179167,0.2,0,2
49241,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-05-01,Parts per billion,7.375,20,6,19,Parts per million,0.032292,0.046,10,39,Parts per billion,0.245833,1.8,17,1,Parts per million,0.159375,0.307,6,NA
49242,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-05-01,Parts per billion,7.375,20,6,19,Parts per million,0.032292,0.046,10,39,Parts per billion,0.245833,1.8,17,1,Parts per million,0.158333,0.2,0,2
49243,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-05-01,Parts per billion,7.375,20,6,19,Parts per million,0.032292,0.046,10,39,Parts per billion,0.2125,0.6,17,NA,Parts per million,0.159375,0.307,6,NA
49244,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-05-01,Parts per billion,7.375,20,6,19,Parts per million,0.032292,0.046,10,39,Parts per billion,0.2125,0.6,17,NA,Parts per million,0.158333,0.2,0,2
49245,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-05-02,Parts per billion,8.95,24,22,23,Parts per million,0.028167,0.044,11,37,Parts per billion,0.154167,0.6,9,0,Parts per million,0.14875,0.308,22,NA
49246,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-05-02,Parts per billion,8.95,24,22,23,Parts per million,0.028167,0.044,11,37,Parts per billion,0.154167,0.6,9,0,Parts per million,0.1125,0.2,21,2
49247,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-05-02,Parts per billion,8.95,24,22,23,Parts per million,0.028167,0.044,11,37,Parts per billion,0.1125,0.2,11,NA,Parts per million,0.14875,0.308,22,NA
49248,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-05-02,Parts per billion,8.95,24,22,23,Parts per million,0.028167,0.044,11,37,Parts per billion,0.1125,0.2,11,NA,Parts per million,0.1125,0.2,21,2
49249,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-05-03,Parts per billion,5.3125,17,23,16,Parts per million,0.02725,0.043,12,36,Parts per billion,0.183333,1.7,17,1,Parts per million,0.156042,0.264,21,NA
49250,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-05-03,Parts per billion,5.3125,17,23,16,Parts per million,0.02725,0.043,12,36,Parts per billion,0.183333,1.7,17,1,Parts per million,0.15,0.2,0,2
49251,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-05-03,Parts per billion,5.3125,17,23,16,Parts per million,0.02725,0.043,12,36,Parts per billion,0.15,0.6,17,NA,Parts per million,0.156042,0.264,21,NA
49252,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-05-03,Parts per billion,5.3125,17,23,16,Parts per million,0.02725,0.043,12,36,Parts per billion,0.15,0.6,17,NA,Parts per million,0.15,0.2,0,2
49253,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-05-04,Parts per billion,5.8,18,6,17,Parts per million,0.035167,0.045,14,38,Parts per billion,0.175,0.6,9,0,Parts per million,0.171958,0.332,6,NA
49254,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-05-04,Parts per billion,5.8,18,6,17,Parts per million,0.035167,0.045,14,38,Parts per billion,0.175,0.6,9,0,Parts per million,0.1625,0.2,0,2
49255,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-05-04,Parts per billion,5.8,18,6,17,Parts per million,0.035167,0.045,14,38,Parts per billion,0.1625,0.3,8,NA,Parts per million,0.171958,0.332,6,NA
49256,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-05-04,Parts per billion,5.8,18,6,17,Parts per million,0.035167,0.045,14,38,Parts per billion,0.1625,0.3,8,NA,Parts per million,0.1625,0.2,0,2
49257,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-05-05,Parts per billion,5.3125,14,22,13,Parts per million,0.026958,0.036,11,31,Parts per billion,0.2625,1.7,17,1,Parts per million,0.149458,0.238,8,NA
49258,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-05-05,Parts per billion,5.3125,14,22,13,Parts per million,0.026958,0.036,11,31,Parts per billion,0.2625,1.7,17,1,Parts per million,0.1375,0.2,8,2
49259,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-05-05,Parts per billion,5.3125,14,22,13,Parts per million,0.026958,0.036,11,31,Parts per billion,0.2375,0.6,17,NA,Parts per million,0.149458,0.238,8,NA
49260,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-05-05,Parts per billion,5.3125,14,22,13,Parts per million,0.026958,0.036,11,31,Parts per billion,0.2375,0.6,17,NA,Parts per million,0.1375,0.2,8,2
49261,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-05-06,Parts per billion,6.8,21,5,20,Parts per million,0.027792,0.043,12,36,Parts per billion,0.2625,1,6,1,Parts per million,0.139708,0.292,6,NA
49262,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-05-06,Parts per billion,6.8,21,5,20,Parts per million,0.027792,0.043,12,36,Parts per billion,0.2625,1,6,1,Parts per million,0.154167,0.2,0,2
49263,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-05-06,Parts per billion,6.8,21,5,20,Parts per million,0.027792,0.043,12,36,Parts per billion,0.2375,0.7,8,NA,Parts per million,0.139708,0.292,6,NA
49264,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-05-06,Parts per billion,6.8,21,5,20,Parts per million,0.027792,0.043,12,36,Parts per billion,0.2375,0.7,8,NA,Parts per million,0.154167,0.2,0,2
49265,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-05-07,Parts per billion,5.5,25,5,24,Parts per million,0.034458,0.045,8,38,Parts per billion,0.2375,1.6,17,1,Parts per million,0.174958,0.322,5,NA
49266,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-05-07,Parts per billion,5.5,25,5,24,Parts per million,0.034458,0.045,8,38,Parts per billion,0.2375,1.6,17,1,Parts per million,0.179167,0.2,5,2
49267,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-05-07,Parts per billion,5.5,25,5,24,Parts per million,0.034458,0.045,8,38,Parts per billion,0.2125,0.6,8,NA,Parts per million,0.174958,0.322,5,NA
49268,16,1,10,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a city,2009-05-07,Parts per billion,5.5,25,5,24,Parts per million,0.034458,0.045,8,38,Parts per billion,0.2125,0.6,8,NA,Parts per million,0.179167,0.2,5,2
