X1,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
45462,18,97,73,"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",Indiana,Marion,Indianapolis (Remainder),2000-03-31,Parts per billion,31.041667,51,20,48,Parts per million,0.003,0.003,22,3,Parts per billion,7.26087,12,23,17,Parts per million,2.054167,3.9,23,NA
45463,18,97,73,"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",Indiana,Marion,Indianapolis (Remainder),2000-03-31,Parts per billion,31.041667,51,20,48,Parts per million,0.003,0.003,22,3,Parts per billion,7.26087,12,23,17,Parts per million,1.879167,2.5,23,28
45464,18,97,73,"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",Indiana,Marion,Indianapolis (Remainder),2000-03-31,Parts per billion,31.041667,51,20,48,Parts per million,0.003,0.003,22,3,Parts per billion,7.242857,10.6,23,NA,Parts per million,2.054167,3.9,23,NA
45465,18,97,73,"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",Indiana,Marion,Indianapolis (Remainder),2000-03-31,Parts per billion,31.041667,51,20,48,Parts per million,0.003,0.003,22,3,Parts per billion,7.242857,10.6,23,NA,Parts per million,1.879167,2.5,23,28
45466,18,97,73,"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",Indiana,Marion,Indianapolis (Remainder),2000-04-01,Parts per billion,33.416667,50,21,47,Parts per million,0.018625,0.035,10,30,Parts per billion,14.086957,26,11,37,Parts per million,2.025,3.3,0,NA
45467,18,97,73,"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",Indiana,Marion,Indianapolis (Remainder),2000-04-01,Parts per billion,33.416667,50,21,47,Parts per million,0.018625,0.035,10,30,Parts per billion,14.086957,26,11,37,Parts per million,2.125,2.9,2,33
45468,18,97,73,"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",Indiana,Marion,Indianapolis (Remainder),2000-04-01,Parts per billion,33.416667,50,21,47,Parts per million,0.018625,0.035,10,30,Parts per billion,14.771429,20.6,14,NA,Parts per million,2.025,3.3,0,NA
45469,18,97,73,"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",Indiana,Marion,Indianapolis (Remainder),2000-04-01,Parts per billion,33.416667,50,21,47,Parts per million,0.018625,0.035,10,30,Parts per billion,14.771429,20.6,14,NA,Parts per million,2.125,2.9,2,33
45470,18,97,73,"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",Indiana,Marion,Indianapolis (Remainder),2000-04-02,Parts per billion,25.083333,47,0,44,Parts per million,0.017375,0.021,1,18,Parts per billion,10.217391,21,16,30,Parts per million,1.820833,2.2,0,NA
45471,18,97,73,"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",Indiana,Marion,Indianapolis (Remainder),2000-04-02,Parts per billion,25.083333,47,0,44,Parts per million,0.017375,0.021,1,18,Parts per billion,10.217391,21,16,30,Parts per million,1.908333,2.2,0,25
45472,18,97,73,"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",Indiana,Marion,Indianapolis (Remainder),2000-04-02,Parts per billion,25.083333,47,0,44,Parts per million,0.017375,0.021,1,18,Parts per billion,10.3,18,17,NA,Parts per million,1.820833,2.2,0,NA
45473,18,97,73,"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",Indiana,Marion,Indianapolis (Remainder),2000-04-02,Parts per billion,25.083333,47,0,44,Parts per million,0.017375,0.021,1,18,Parts per billion,10.3,18,17,NA,Parts per million,1.908333,2.2,0,25
45474,18,97,73,"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",Indiana,Marion,Indianapolis (Remainder),2000-04-03,Parts per billion,23.791667,46,7,43,Parts per million,0.020875,0.03,9,25,Parts per billion,10.652174,27,15,39,Parts per million,1.845833,2.7,7,NA
45475,18,97,73,"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",Indiana,Marion,Indianapolis (Remainder),2000-04-03,Parts per billion,23.791667,46,7,43,Parts per million,0.020875,0.03,9,25,Parts per billion,10.652174,27,15,39,Parts per million,1.8875,2.1,8,24
45476,18,97,73,"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",Indiana,Marion,Indianapolis (Remainder),2000-04-03,Parts per billion,23.791667,46,7,43,Parts per million,0.020875,0.03,9,25,Parts per billion,10.814286,17.3,17,NA,Parts per million,1.845833,2.7,7,NA
45477,18,97,73,"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",Indiana,Marion,Indianapolis (Remainder),2000-04-03,Parts per billion,23.791667,46,7,43,Parts per million,0.020875,0.03,9,25,Parts per billion,10.814286,17.3,17,NA,Parts per million,1.8875,2.1,8,24
45478,18,97,73,"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",Indiana,Marion,Indianapolis (Remainder),2000-04-04,Parts per billion,11.833333,39,21,37,Parts per million,0.021792,0.033,11,28,Parts per billion,5.347826,9,22,13,Parts per million,1.658333,2.2,21,NA
