X1,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
49082,21,19,15,32ND & RAILROAD STS.,Kentucky,Boyd,Ashland,2000-02-29,Parts per billion,27.608696,41,19,39,Parts per million,0.004,0.004,22,3,Parts per billion,15.130435,46,19,64,Parts per million,0.36087,1,19,NA
49083,21,19,15,32ND & RAILROAD STS.,Kentucky,Boyd,Ashland,2000-02-29,Parts per billion,27.608696,41,19,39,Parts per million,0.004,0.004,22,3,Parts per billion,15.130435,46,19,64,Parts per million,0.3375,0.5,2,6
49084,21,19,15,32ND & RAILROAD STS.,Kentucky,Boyd,Ashland,2000-02-29,Parts per billion,27.608696,41,19,39,Parts per million,0.004,0.004,22,3,Parts per billion,15.257143,26,20,NA,Parts per million,0.36087,1,19,NA
49085,21,19,15,32ND & RAILROAD STS.,Kentucky,Boyd,Ashland,2000-02-29,Parts per billion,27.608696,41,19,39,Parts per million,0.004,0.004,22,3,Parts per billion,15.257143,26,20,NA,Parts per million,0.3375,0.5,2,6
49086,21,19,15,32ND & RAILROAD STS.,Kentucky,Boyd,Ashland,2000-03-01,Parts per billion,16.782609,43,6,41,Parts per million,0.031625,0.049,9,42,Parts per billion,7.304348,21,5,30,Parts per million,0.230435,0.7,0,NA
49087,21,19,15,32ND & RAILROAD STS.,Kentucky,Boyd,Ashland,2000-03-01,Parts per billion,16.782609,43,6,41,Parts per million,0.031625,0.049,9,42,Parts per billion,7.304348,21,5,30,Parts per million,0.304167,0.7,1,8
49088,21,19,15,32ND & RAILROAD STS.,Kentucky,Boyd,Ashland,2000-03-01,Parts per billion,16.782609,43,6,41,Parts per million,0.031625,0.049,9,42,Parts per billion,7.485714,15.3,5,NA,Parts per million,0.230435,0.7,0,NA
49089,21,19,15,32ND & RAILROAD STS.,Kentucky,Boyd,Ashland,2000-03-01,Parts per billion,16.782609,43,6,41,Parts per million,0.031625,0.049,9,42,Parts per billion,7.485714,15.3,5,NA,Parts per million,0.304167,0.7,1,8
49090,21,19,15,32ND & RAILROAD STS.,Kentucky,Boyd,Ashland,2000-03-02,Parts per billion,12.625,25,21,24,Parts per million,0.026042,0.035,9,30,Parts per billion,2.409091,6,7,9,Parts per million,0.063636,0.6,7,NA
49091,21,19,15,32ND & RAILROAD STS.,Kentucky,Boyd,Ashland,2000-03-02,Parts per billion,12.625,25,21,24,Parts per million,0.026042,0.035,9,30,Parts per billion,2.409091,6,7,9,Parts per million,0.079167,0.2,14,2
49092,21,19,15,32ND & RAILROAD STS.,Kentucky,Boyd,Ashland,2000-03-02,Parts per billion,12.625,25,21,24,Parts per million,0.026042,0.035,9,30,Parts per billion,2.45,4.6,8,NA,Parts per million,0.063636,0.6,7,NA
49093,21,19,15,32ND & RAILROAD STS.,Kentucky,Boyd,Ashland,2000-03-02,Parts per billion,12.625,25,21,24,Parts per million,0.026042,0.035,9,30,Parts per billion,2.45,4.6,8,NA,Parts per million,0.079167,0.2,14,2
49094,21,19,15,32ND & RAILROAD STS.,Kentucky,Boyd,Ashland,2000-03-03,Parts per billion,14.695652,31,22,29,Parts per million,0.02075,0.033,10,28,Parts per billion,7.391304,29,20,41,Parts per million,0.078261,0.5,7,NA
49095,21,19,15,32ND & RAILROAD STS.,Kentucky,Boyd,Ashland,2000-03-03,Parts per billion,14.695652,31,22,29,Parts per million,0.02075,0.033,10,28,Parts per billion,7.391304,29,20,41,Parts per million,0.045833,0.1,7,1
