X1,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
56012,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,2000-03-31,Parts per billion,34.708333,60,21,57,Parts per million,0.002,0.002,22,2,Parts per billion,4.916667,24,19,34,Parts per million,0.9625,4.5,18,NA
56013,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,2000-03-31,Parts per billion,34.708333,60,21,57,Parts per million,0.002,0.002,22,2,Parts per billion,4.916667,24,19,34,Parts per million,0.9,2.1,22,24
56014,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,2000-03-31,Parts per billion,34.708333,60,21,57,Parts per million,0.002,0.002,22,2,Parts per billion,4.8875,18.3,20,NA,Parts per million,0.9625,4.5,18,NA
56015,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,2000-03-31,Parts per billion,34.708333,60,21,57,Parts per million,0.002,0.002,22,2,Parts per billion,4.8875,18.3,20,NA,Parts per million,0.9,2.1,22,24
56016,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,2000-04-01,Parts per billion,37.666667,61,20,58,Parts per million,0.01975,0.036,10,31,Parts per billion,9.333333,46,13,64,Parts per million,0.152174,1.4,20,NA
56017,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,2000-04-01,Parts per billion,37.666667,61,20,58,Parts per million,0.01975,0.036,10,31,Parts per billion,9.333333,46,13,64,Parts per million,0.325,2,0,23
56018,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,2000-04-01,Parts per billion,37.666667,61,20,58,Parts per million,0.01975,0.036,10,31,Parts per billion,9.3125,30.3,14,NA,Parts per million,0.152174,1.4,20,NA
56019,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,2000-04-01,Parts per billion,37.666667,61,20,58,Parts per million,0.01975,0.036,10,31,Parts per billion,9.3125,30.3,14,NA,Parts per million,0.325,2,0,23
56020,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,2000-04-02,Parts per billion,25.833333,55,1,52,Parts per million,0.025667,0.036,10,31,Parts per billion,3.958333,12,1,17,Parts per million,0.204167,2.7,2,NA
56021,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,2000-04-02,Parts per billion,25.833333,55,1,52,Parts per million,0.025667,0.036,10,31,Parts per billion,3.958333,12,1,17,Parts per million,0.275,1,2,11
56022,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,2000-04-02,Parts per billion,25.833333,55,1,52,Parts per million,0.025667,0.036,10,31,Parts per billion,3.925,10.6,2,NA,Parts per million,0.204167,2.7,2,NA
56023,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,2000-04-02,Parts per billion,25.833333,55,1,52,Parts per million,0.025667,0.036,10,31,Parts per billion,3.925,10.6,2,NA,Parts per million,0.275,1,2,11
56024,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,2000-04-03,Parts per billion,36.25,50,18,47,Parts per million,0.010625,0.018,22,15,Parts per billion,4.625,12,13,17,Parts per million,0.354167,1.3,21,NA
56025,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,2000-04-03,Parts per billion,36.25,50,18,47,Parts per million,0.010625,0.018,22,15,Parts per billion,4.625,12,13,17,Parts per million,0.266667,0.8,20,9
56026,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,2000-04-03,Parts per billion,36.25,50,18,47,Parts per million,0.010625,0.018,22,15,Parts per billion,4.5875,8.3,20,NA,Parts per million,0.354167,1.3,21,NA
56027,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,2000-04-03,Parts per billion,36.25,50,18,47,Parts per million,0.010625,0.018,22,15,Parts per billion,4.5875,8.3,20,NA,Parts per million,0.266667,0.8,20,9
56028,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,2000-04-04,Parts per billion,17,32,0,30,Parts per million,0.020958,0.027,12,23,Parts per billion,0.166667,1,0,1,Parts per million,0.004167,0.1,0,NA
56029,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,2000-04-04,Parts per billion,17,32,0,30,Parts per million,0.020958,0.027,12,23,Parts per billion,0.166667,1,0,1,Parts per million,0.104167,0.7,0,8
56030,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,2000-04-04,Parts per billion,17,32,0,30,Parts per million,0.020958,0.027,12,23,Parts per billion,0.1625,1,2,NA,Parts per million,0.004167,0.1,0,NA
56031,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,2000-04-04,Parts per billion,17,32,0,30,Parts per million,0.020958,0.027,12,23,Parts per billion,0.1625,1,2,NA,Parts per million,0.104167,0.7,0,8
56032,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,2000-04-05,Parts per billion,25.416667,48,18,45,Parts per million,0.021792,0.035,9,30,Parts per billion,1.958333,17,18,24,Parts per million,0.216667,1.5,18,NA
56033,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,2000-04-05,Parts per billion,25.416667,48,18,45,Parts per million,0.021792,0.035,9,30,Parts per billion,1.958333,17,18,24,Parts per million,0.191667,0.4,19,5
56034,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,2000-04-05,Parts per billion,25.416667,48,18,45,Parts per million,0.021792,0.035,9,30,Parts per billion,1.9375,8.6,20,NA,Parts per million,0.216667,1.5,18,NA
56035,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,2000-04-05,Parts per billion,25.416667,48,18,45,Parts per million,0.021792,0.035,9,30,Parts per billion,1.9375,8.6,20,NA,Parts per million,0.191667,0.4,19,5
56036,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,2000-04-06,Parts per billion,20.25,52,21,49,Parts per million,0.021792,0.034,11,29,Parts per billion,1.875,17,1,24,Parts per million,0.320833,0.9,23,NA
56037,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,2000-04-06,Parts per billion,20.25,52,21,49,Parts per million,0.021792,0.034,11,29,Parts per billion,1.875,17,1,24,Parts per million,0.291667,0.5,0,6
