X1,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
77314,27,3,1002,9399 Lima St,Minnesota,Anoka,Blaine,2011-01-01,Parts per billion,0.041667,1,7,1,Parts per million,0.033083,0.037,13,31,Parts per billion,0.523529,1.4,2,1,Parts per million,0.122682,0.134,20,NA
77315,27,3,1002,9399 Lima St,Minnesota,Anoka,Blaine,2011-01-01,Parts per billion,0.041667,1,7,1,Parts per million,0.033083,0.037,13,31,Parts per billion,0.523529,1.4,2,1,Parts per million,0.1,0.1,7,1
77316,27,3,1002,9399 Lima St,Minnesota,Anoka,Blaine,2011-01-01,Parts per billion,0.041667,1,7,1,Parts per million,0.033083,0.037,13,31,Parts per billion,0.675,1.1,2,NA,Parts per million,0.122682,0.134,20,NA
77317,27,3,1002,9399 Lima St,Minnesota,Anoka,Blaine,2011-01-01,Parts per billion,0.041667,1,7,1,Parts per million,0.033083,0.037,13,31,Parts per billion,0.675,1.1,2,NA,Parts per million,0.1,0.1,7,1
77318,27,3,1002,9399 Lima St,Minnesota,Anoka,Blaine,2011-01-02,Parts per billion,8.791667,19,8,18,Parts per million,0.026333,0.032,0,27,Parts per billion,2.633333,9.5,18,13,Parts per million,0.1972,0.26,20,NA
77319,27,3,1002,9399 Lima St,Minnesota,Anoka,Blaine,2011-01-02,Parts per billion,8.791667,19,8,18,Parts per million,0.026333,0.032,0,27,Parts per billion,2.633333,9.5,18,13,Parts per million,0.176471,0.2,11,2
77320,27,3,1002,9399 Lima St,Minnesota,Anoka,Blaine,2011-01-02,Parts per billion,8.791667,19,8,18,Parts per million,0.026333,0.032,0,27,Parts per billion,2.85,5.6,20,NA,Parts per million,0.1972,0.26,20,NA
77321,27,3,1002,9399 Lima St,Minnesota,Anoka,Blaine,2011-01-02,Parts per billion,8.791667,19,8,18,Parts per million,0.026333,0.032,0,27,Parts per billion,2.85,5.6,20,NA,Parts per million,0.176471,0.2,11,2
77322,27,3,1002,9399 Lima St,Minnesota,Anoka,Blaine,2011-01-03,Parts per billion,11.916667,28,15,26,Parts per million,0.0205,0.025,18,21,Parts per billion,0.691304,1.9,15,1,Parts per million,0.301773,0.445,15,NA
77323,27,3,1002,9399 Lima St,Minnesota,Anoka,Blaine,2011-01-03,Parts per billion,11.916667,28,15,26,Parts per million,0.0205,0.025,18,21,Parts per billion,0.691304,1.9,15,1,Parts per million,0.279167,0.4,19,5
77324,27,3,1002,9399 Lima St,Minnesota,Anoka,Blaine,2011-01-03,Parts per billion,11.916667,28,15,26,Parts per million,0.0205,0.025,18,21,Parts per billion,0.7,1.3,14,NA,Parts per million,0.301773,0.445,15,NA
77325,27,3,1002,9399 Lima St,Minnesota,Anoka,Blaine,2011-01-03,Parts per billion,11.916667,28,15,26,Parts per million,0.0205,0.025,18,21,Parts per billion,0.7,1.3,14,NA,Parts per million,0.279167,0.4,19,5
77326,27,3,1002,9399 Lima St,Minnesota,Anoka,Blaine,2011-01-04,Parts per billion,19.625,38,19,36,Parts per million,0.011958,0.023,9,19,Parts per billion,2.843478,7,15,10,Parts per million,0.287409,0.526,21,NA
77327,27,3,1002,9399 Lima St,Minnesota,Anoka,Blaine,2011-01-04,Parts per billion,19.625,38,19,36,Parts per million,0.011958,0.023,9,19,Parts per billion,2.843478,7,15,10,Parts per million,0.254167,0.4,22,5
77328,27,3,1002,9399 Lima St,Minnesota,Anoka,Blaine,2011-01-04,Parts per billion,19.625,38,19,36,Parts per million,0.011958,0.023,9,19,Parts per billion,2.971429,5,17,NA,Parts per million,0.287409,0.526,21,NA
77329,27,3,1002,9399 Lima St,Minnesota,Anoka,Blaine,2011-01-04,Parts per billion,19.625,38,19,36,Parts per million,0.011958,0.023,9,19,Parts per billion,2.971429,5,17,NA,Parts per million,0.254167,0.4,22,5
77330,27,3,1002,9399 Lima St,Minnesota,Anoka,Blaine,2011-01-05,Parts per billion,19.791667,36,0,34,Parts per million,0.016583,0.027,12,23,Parts per billion,1.795652,3,8,4,Parts per million,0.274409,0.383,8,NA
