X1,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
60769,32,3,601,1005 INDUSTRIAL ROAD,Nevada,Clark,Boulder City,2001-10-01,Parts per billion,3.173913,14,17,13,Parts per million,0.040667,0.054,9,46,Parts per billion,1.086957,11,19,16,Parts per million,0,0,0,NA
60770,32,3,601,1005 INDUSTRIAL ROAD,Nevada,Clark,Boulder City,2001-10-01,Parts per billion,3.173913,14,17,13,Parts per million,0.040667,0.054,9,46,Parts per billion,1.086957,11,19,16,Parts per million,0,0,0,0
60771,32,3,601,1005 INDUSTRIAL ROAD,Nevada,Clark,Boulder City,2001-10-01,Parts per billion,3.173913,14,17,13,Parts per million,0.040667,0.054,9,46,Parts per billion,1.185714,6.3,20,NA,Parts per million,0,0,0,NA
60772,32,3,601,1005 INDUSTRIAL ROAD,Nevada,Clark,Boulder City,2001-10-01,Parts per billion,3.173913,14,17,13,Parts per million,0.040667,0.054,9,46,Parts per billion,1.185714,6.3,20,NA,Parts per million,0,0,0,0
60773,32,3,601,1005 INDUSTRIAL ROAD,Nevada,Clark,Boulder City,2001-10-02,Parts per billion,6.708333,18,17,17,Parts per million,0.044333,0.057,10,48,Parts per billion,0,0,0,0,Parts per million,0,0,0,NA
60774,32,3,601,1005 INDUSTRIAL ROAD,Nevada,Clark,Boulder City,2001-10-02,Parts per billion,6.708333,18,17,17,Parts per million,0.044333,0.057,10,48,Parts per billion,0,0,0,0,Parts per million,0,0,0,0
60775,32,3,601,1005 INDUSTRIAL ROAD,Nevada,Clark,Boulder City,2001-10-02,Parts per billion,6.708333,18,17,17,Parts per million,0.044333,0.057,10,48,Parts per billion,0,0,2,NA,Parts per million,0,0,0,NA
60776,32,3,601,1005 INDUSTRIAL ROAD,Nevada,Clark,Boulder City,2001-10-02,Parts per billion,6.708333,18,17,17,Parts per million,0.044333,0.057,10,48,Parts per billion,0,0,2,NA,Parts per million,0,0,0,0
60777,32,3,601,1005 INDUSTRIAL ROAD,Nevada,Clark,Boulder City,2001-10-03,Parts per billion,3.458333,17,6,16,Parts per million,0.040125,0.052,9,44,Parts per billion,0.916667,8,6,11,Parts per million,0,0,0,NA
60778,32,3,601,1005 INDUSTRIAL ROAD,Nevada,Clark,Boulder City,2001-10-03,Parts per billion,3.458333,17,6,16,Parts per million,0.040125,0.052,9,44,Parts per billion,0.916667,8,6,11,Parts per million,0,0,0,0
