X1,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
63420,33,11,20,PEARL ST,New Hampshire,Hillsborough,Manchester,2002-03-31,Parts per billion,15.041667,35,0,33,Parts per million,0.037,0.037,22,31,Parts per billion,2.541667,8,8,11,Parts per million,0.245833,0.9,1,NA
63421,33,11,20,PEARL ST,New Hampshire,Hillsborough,Manchester,2002-03-31,Parts per billion,15.041667,35,0,33,Parts per million,0.037,0.037,22,31,Parts per billion,2.541667,8,8,11,Parts per million,0.283333,0.5,1,6
63422,33,11,20,PEARL ST,New Hampshire,Hillsborough,Manchester,2002-03-31,Parts per billion,15.041667,35,0,33,Parts per million,0.037,0.037,22,31,Parts per billion,2.525,6.6,8,NA,Parts per million,0.245833,0.9,1,NA
63423,33,11,20,PEARL ST,New Hampshire,Hillsborough,Manchester,2002-03-31,Parts per billion,15.041667,35,0,33,Parts per million,0.037,0.037,22,31,Parts per billion,2.525,6.6,8,NA,Parts per million,0.283333,0.5,1,6
63424,33,11,20,PEARL ST,New Hampshire,Hillsborough,Manchester,2002-04-01,Parts per billion,7.347826,17,9,16,Parts per million,0.040708,0.043,14,36,Parts per billion,0.217391,2,0,3,Parts per million,0.165217,0.3,9,NA
63425,33,11,20,PEARL ST,New Hampshire,Hillsborough,Manchester,2002-04-01,Parts per billion,7.347826,17,9,16,Parts per million,0.040708,0.043,14,36,Parts per billion,0.217391,2,0,3,Parts per million,0.191667,0.2,0,2
63426,33,11,20,PEARL ST,New Hampshire,Hillsborough,Manchester,2002-04-01,Parts per billion,7.347826,17,9,16,Parts per million,0.040708,0.043,14,36,Parts per billion,0.185714,1.3,2,NA,Parts per million,0.165217,0.3,9,NA
63427,33,11,20,PEARL ST,New Hampshire,Hillsborough,Manchester,2002-04-01,Parts per billion,7.347826,17,9,16,Parts per million,0.040708,0.043,14,36,Parts per billion,0.185714,1.3,2,NA,Parts per million,0.191667,0.2,0,2
63428,33,11,20,PEARL ST,New Hampshire,Hillsborough,Manchester,2002-04-02,Parts per billion,12.375,38,20,36,Parts per million,0.034625,0.042,8,36,Parts per billion,1.583333,18,5,26,Parts per million,0.208333,0.5,19,NA
63429,33,11,20,PEARL ST,New Hampshire,Hillsborough,Manchester,2002-04-02,Parts per billion,12.375,38,20,36,Parts per million,0.034625,0.042,8,36,Parts per billion,1.583333,18,5,26,Parts per million,0.179167,0.4,21,5
63430,33,11,20,PEARL ST,New Hampshire,Hillsborough,Manchester,2002-04-02,Parts per billion,12.375,38,20,36,Parts per million,0.034625,0.042,8,36,Parts per billion,1.575,6,5,NA,Parts per million,0.208333,0.5,19,NA
63431,33,11,20,PEARL ST,New Hampshire,Hillsborough,Manchester,2002-04-02,Parts per billion,12.375,38,20,36,Parts per million,0.034625,0.042,8,36,Parts per billion,1.575,6,5,NA,Parts per million,0.179167,0.4,21,5
63432,33,11,20,PEARL ST,New Hampshire,Hillsborough,Manchester,2002-04-03,Parts per billion,15.375,41,8,39,Parts per million,0.028708,0.037,11,31,Parts per billion,1.291667,13,7,19,Parts per million,0.3375,1,8,NA
63433,33,11,20,PEARL ST,New Hampshire,Hillsborough,Manchester,2002-04-03,Parts per billion,15.375,41,8,39,Parts per million,0.028708,0.037,11,31,Parts per billion,1.291667,13,7,19,Parts per million,0.35,0.5,9,6
63434,33,11,20,PEARL ST,New Hampshire,Hillsborough,Manchester,2002-04-03,Parts per billion,15.375,41,8,39,Parts per million,0.028708,0.037,11,31,Parts per billion,1.275,7,8,NA,Parts per million,0.3375,1,8,NA
63435,33,11,20,PEARL ST,New Hampshire,Hillsborough,Manchester,2002-04-03,Parts per billion,15.375,41,8,39,Parts per million,0.028708,0.037,11,31,Parts per billion,1.275,7,8,NA,Parts per million,0.35,0.5,9,6
63436,33,11,20,PEARL ST,New Hampshire,Hillsborough,Manchester,2002-04-04,Parts per billion,8.291667,15,21,14,Parts per million,0.031,0.035,7,30,Parts per billion,0.333333,3,5,4,Parts per million,0.1875,0.3,16,NA
63437,33,11,20,PEARL ST,New Hampshire,Hillsborough,Manchester,2002-04-04,Parts per billion,8.291667,15,21,14,Parts per million,0.031,0.035,7,30,Parts per billion,0.333333,3,5,4,Parts per million,0.2,0.2,0,2
63438,33,11,20,PEARL ST,New Hampshire,Hillsborough,Manchester,2002-04-04,Parts per billion,8.291667,15,21,14,Parts per million,0.031,0.035,7,30,Parts per billion,0.325,1,5,NA,Parts per million,0.1875,0.3,16,NA
63439,33,11,20,PEARL ST,New Hampshire,Hillsborough,Manchester,2002-04-04,Parts per billion,8.291667,15,21,14,Parts per million,0.031,0.035,7,30,Parts per billion,0.325,1,5,NA,Parts per million,0.2,0.2,0,2
63440,33,11,20,PEARL ST,New Hampshire,Hillsborough,Manchester,2002-04-05,Parts per billion,12.25,19,18,18,Parts per million,0.027833,0.034,8,29,Parts per billion,2,12,9,17,Parts per million,0.208333,0.3,6,NA
