X1,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
81314,35,1,23,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,2011-01-01,Parts per billion,9.180952,20.4,4,19,Parts per million,0.030167,0.035,10,30,Parts per billion,0.054167,0.4,19,0,Parts per million,0.195833,0.2,0,NA
81315,35,1,23,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,2011-01-01,Parts per billion,9.180952,20.4,4,19,Parts per million,0.030167,0.035,10,30,Parts per billion,0.054167,0.4,19,0,Parts per million,0.2,0.2,5,2
81316,35,1,23,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,2011-01-01,Parts per billion,9.180952,20.4,4,19,Parts per million,0.030167,0.035,10,30,Parts per billion,0.05,0.2,11,NA,Parts per million,0.195833,0.2,0,NA
81317,35,1,23,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,2011-01-01,Parts per billion,9.180952,20.4,4,19,Parts per million,0.030167,0.035,10,30,Parts per billion,0.05,0.2,11,NA,Parts per million,0.2,0.2,5,2
81318,35,1,23,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,2011-01-02,Parts per billion,11.504762,40.3,18,38,Parts per million,0.020708,0.033,9,28,Parts per billion,0.1625,1.9,21,1,Parts per million,0.325,1.1,21,NA
81319,35,1,23,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,2011-01-02,Parts per billion,11.504762,40.3,18,38,Parts per million,0.020708,0.033,9,28,Parts per billion,0.1625,1.9,21,1,Parts per million,0.275,0.6,21,7
81320,35,1,23,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,2011-01-02,Parts per billion,11.504762,40.3,18,38,Parts per million,0.020708,0.033,9,28,Parts per billion,0.1625,0.8,20,NA,Parts per million,0.325,1.1,21,NA
81321,35,1,23,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,2011-01-02,Parts per billion,11.504762,40.3,18,38,Parts per million,0.020708,0.033,9,28,Parts per billion,0.1625,0.8,20,NA,Parts per million,0.275,0.6,21,7
81322,35,1,23,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,2011-01-03,Parts per billion,23.342857,47.2,18,44,Parts per million,0.008375,0.017,8,14,Parts per billion,0.720833,2.7,21,3,Parts per million,0.55,1.4,21,NA
81323,35,1,23,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,2011-01-03,Parts per billion,23.342857,47.2,18,44,Parts per million,0.008375,0.017,8,14,Parts per billion,0.720833,2.7,21,3,Parts per million,0.479167,1.1,22,13
