X1,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
81923,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2008-01-01,Parts per billion,2.458333,24,23,23,Parts per million,0.019292,0.027,10,23,Parts per billion,0.233333,0.4,23,0,Parts per million,0.165458,0.358,23,NA
81924,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2008-01-01,Parts per billion,2.458333,24,23,23,Parts per million,0.019292,0.027,10,23,Parts per billion,0.233333,0.4,23,0,Parts per million,0.136842,0.2,17,2
81925,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2008-01-01,Parts per billion,2.458333,24,23,23,Parts per million,0.019292,0.027,10,23,Parts per billion,0.225,0.3,8,NA,Parts per million,0.165458,0.358,23,NA
81926,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2008-01-01,Parts per billion,2.458333,24,23,23,Parts per million,0.019292,0.027,10,23,Parts per billion,0.225,0.3,8,NA,Parts per million,0.136842,0.2,17,2
81927,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2008-01-02,Parts per billion,14,33,7,31,Parts per million,0.016583,0.031,22,26,Parts per billion,0.6375,1.5,13,1,Parts per million,0.299042,0.71,9,NA
81928,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2008-01-02,Parts per billion,14,33,7,31,Parts per million,0.016583,0.031,22,26,Parts per billion,0.6375,1.5,13,1,Parts per million,0.304167,0.5,11,6
81929,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2008-01-02,Parts per billion,14,33,7,31,Parts per million,0.016583,0.031,22,26,Parts per billion,0.6,1.1,14,NA,Parts per million,0.299042,0.71,9,NA
81930,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2008-01-02,Parts per billion,14,33,7,31,Parts per million,0.016583,0.031,22,26,Parts per billion,0.6,1.1,14,NA,Parts per million,0.304167,0.5,11,6
81931,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2008-01-03,Parts per billion,12.083333,29,22,27,Parts per million,0.021292,0.032,0,27,Parts per billion,0.179167,0.4,2,0,Parts per million,0.20775,0.348,17,NA
81932,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2008-01-03,Parts per billion,12.083333,29,22,27,Parts per million,0.021292,0.032,0,27,Parts per billion,0.179167,0.4,2,0,Parts per million,0.216667,0.3,20,3
81933,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2008-01-03,Parts per billion,12.083333,29,22,27,Parts per million,0.021292,0.032,0,27,Parts per billion,0.1625,0.3,2,NA,Parts per million,0.20775,0.348,17,NA
81934,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2008-01-03,Parts per billion,12.083333,29,22,27,Parts per million,0.021292,0.032,0,27,Parts per billion,0.1625,0.3,2,NA,Parts per million,0.216667,0.3,20,3
81935,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2008-01-04,Parts per billion,14.875,23,23,22,Parts per million,0.015292,0.02,8,17,Parts per billion,0.033333,0.1,9,0,Parts per million,0.242167,0.322,21,NA
81936,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2008-01-04,Parts per billion,14.875,23,23,22,Parts per million,0.015292,0.02,8,17,Parts per billion,0.033333,0.1,9,0,Parts per million,0.229167,0.3,0,3
81937,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2008-01-04,Parts per billion,14.875,23,23,22,Parts per million,0.015292,0.02,8,17,Parts per billion,0.025,0.1,11,NA,Parts per million,0.242167,0.322,21,NA
81938,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2008-01-04,Parts per billion,14.875,23,23,22,Parts per million,0.015292,0.02,8,17,Parts per billion,0.025,0.1,11,NA,Parts per million,0.229167,0.3,0,3
81939,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2008-01-05,Parts per billion,8.833333,14,2,13,Parts per million,0.021333,0.028,12,24,Parts per billion,0.033333,0.1,12,0,Parts per million,0.230708,0.256,16,NA
81940,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2008-01-05,Parts per billion,8.833333,14,2,13,Parts per million,0.021333,0.028,12,24,Parts per billion,0.033333,0.1,12,0,Parts per million,0.216667,0.3,0,3
81941,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2008-01-05,Parts per billion,8.833333,14,2,13,Parts per million,0.021333,0.028,12,24,Parts per billion,0.025,0.1,14,NA,Parts per million,0.230708,0.256,16,NA
81942,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2008-01-05,Parts per billion,8.833333,14,2,13,Parts per million,0.021333,0.028,12,24,Parts per billion,0.025,0.1,14,NA,Parts per million,0.216667,0.3,0,3
81943,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2008-01-06,Parts per billion,11.333333,33,19,31,Parts per million,0.017583,0.03,9,25,Parts per billion,0.0875,0.5,14,0,Parts per million,0.2405,0.443,19,NA
81944,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2008-01-06,Parts per billion,11.333333,33,19,31,Parts per million,0.017583,0.03,9,25,Parts per billion,0.0875,0.5,14,0,Parts per million,0.225,0.3,18,3
81945,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2008-01-06,Parts per billion,11.333333,33,19,31,Parts per million,0.017583,0.03,9,25,Parts per billion,0.075,0.4,14,NA,Parts per million,0.2405,0.443,19,NA
81946,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2008-01-06,Parts per billion,11.333333,33,19,31,Parts per million,0.017583,0.03,9,25,Parts per billion,0.075,0.4,14,NA,Parts per million,0.225,0.3,18,3
81947,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2008-01-07,Parts per billion,15.761905,25,8,24,Parts per million,0.015167,0.021,22,18,Parts per billion,0.040909,0.5,15,0,Parts per million,0.244227,0.341,8,NA
81948,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2008-01-07,Parts per billion,15.761905,25,8,24,Parts per million,0.015167,0.021,22,18,Parts per billion,0.040909,0.5,15,0,Parts per million,0.258333,0.3,0,3
81949,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2008-01-07,Parts per billion,15.761905,25,8,24,Parts per million,0.015167,0.021,22,18,Parts per billion,0.028571,0.2,17,NA,Parts per million,0.244227,0.341,8,NA
81950,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2008-01-07,Parts per billion,15.761905,25,8,24,Parts per million,0.015167,0.021,22,18,Parts per billion,0.028571,0.2,17,NA,Parts per million,0.258333,0.3,0,3
81951,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2008-01-08,Parts per billion,8.904762,28,20,26,Parts per million,0.015217,0.024,8,20,Parts per billion,0.171429,0.5,3,0,Parts per million,0.219,0.306,19,NA
