X1,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
83158,41,51,80,SE LAFAYETTE/5824 SE LAFAYETTE,Oregon,Multnomah,Portland,2007-05-02,Parts per billion,16,21,21,20,Parts per million,0.032375,0.04,3,34,Parts per billion,1,1,0,1,Parts per million,0.3,0.7,21,NA
83159,41,51,80,SE LAFAYETTE/5824 SE LAFAYETTE,Oregon,Multnomah,Portland,2007-05-02,Parts per billion,16,21,21,20,Parts per million,0.032375,0.04,3,34,Parts per billion,1,1,0,1,Parts per million,0.270833,0.5,22,6
83160,41,51,80,SE LAFAYETTE/5824 SE LAFAYETTE,Oregon,Multnomah,Portland,2007-05-02,Parts per billion,16,21,21,20,Parts per million,0.032375,0.04,3,34,Parts per billion,1,1,2,NA,Parts per million,0.3,0.7,21,NA
83161,41,51,80,SE LAFAYETTE/5824 SE LAFAYETTE,Oregon,Multnomah,Portland,2007-05-02,Parts per billion,16,21,21,20,Parts per million,0.032375,0.04,3,34,Parts per billion,1,1,2,NA,Parts per million,0.270833,0.5,22,6
83162,41,51,80,SE LAFAYETTE/5824 SE LAFAYETTE,Oregon,Multnomah,Portland,2007-05-03,Parts per billion,12.083333,21,18,20,Parts per million,0.026667,0.037,9,31,Parts per billion,1.043478,2,6,3,Parts per million,0.291667,0.5,0,NA
83163,41,51,80,SE LAFAYETTE/5824 SE LAFAYETTE,Oregon,Multnomah,Portland,2007-05-03,Parts per billion,12.083333,21,18,20,Parts per million,0.026667,0.037,9,31,Parts per billion,1.043478,2,6,3,Parts per million,0.354167,0.5,0,6
83164,41,51,80,SE LAFAYETTE/5824 SE LAFAYETTE,Oregon,Multnomah,Portland,2007-05-03,Parts per billion,12.083333,21,18,20,Parts per million,0.026667,0.037,9,31,Parts per billion,1.042857,1.3,8,NA,Parts per million,0.291667,0.5,0,NA
83165,41,51,80,SE LAFAYETTE/5824 SE LAFAYETTE,Oregon,Multnomah,Portland,2007-05-03,Parts per billion,12.083333,21,18,20,Parts per million,0.026667,0.037,9,31,Parts per billion,1.042857,1.3,8,NA,Parts per million,0.354167,0.5,0,6
83166,41,51,80,SE LAFAYETTE/5824 SE LAFAYETTE,Oregon,Multnomah,Portland,2007-05-04,Parts per billion,11.782609,24,23,23,Parts per million,0.023125,0.037,10,31,Parts per billion,1,1,0,1,Parts per million,0.165217,0.5,23,NA
83167,41,51,80,SE LAFAYETTE/5824 SE LAFAYETTE,Oregon,Multnomah,Portland,2007-05-04,Parts per billion,11.782609,24,23,23,Parts per million,0.023125,0.037,10,31,Parts per billion,1,1,0,1,Parts per million,0.125,0.3,23,3
