X1,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
111702,44,7,1010,"FRANCIS SCHOOL, 64 BOURNE AVE",Rhode Island,Providence,East Providence,2011-06-01,Parts per billion,3.809524,5,1,5,Parts per million,0.037792,0.045,9,38,Parts per billion,0,0,0,0,Parts per million,0.196667,0.24,9,NA
111703,44,7,1010,"FRANCIS SCHOOL, 64 BOURNE AVE",Rhode Island,Providence,East Providence,2011-06-01,Parts per billion,3.809524,5,1,5,Parts per million,0.037792,0.045,9,38,Parts per billion,0,0,0,0,Parts per million,0.2,0.2,0,2
111704,44,7,1010,"FRANCIS SCHOOL, 64 BOURNE AVE",Rhode Island,Providence,East Providence,2011-06-01,Parts per billion,3.809524,5,1,5,Parts per million,0.037792,0.045,9,38,Parts per billion,0,0,2,NA,Parts per million,0.196667,0.24,9,NA
111705,44,7,1010,"FRANCIS SCHOOL, 64 BOURNE AVE",Rhode Island,Providence,East Providence,2011-06-01,Parts per billion,3.809524,5,1,5,Parts per million,0.037792,0.045,9,38,Parts per billion,0,0,2,NA,Parts per million,0.2,0.2,0,2
111706,44,7,1010,"FRANCIS SCHOOL, 64 BOURNE AVE",Rhode Island,Providence,East Providence,2011-06-02,Parts per billion,3.916667,9,2,8,Parts per million,0.038708,0.048,4,41,Parts per billion,0.166667,2,4,3,Parts per million,0.14125,0.2,2,NA
111707,44,7,1010,"FRANCIS SCHOOL, 64 BOURNE AVE",Rhode Island,Providence,East Providence,2011-06-02,Parts per billion,3.916667,9,2,8,Parts per million,0.038708,0.048,4,41,Parts per billion,0.166667,2,4,3,Parts per million,0.145833,0.2,0,2
111708,44,7,1010,"FRANCIS SCHOOL, 64 BOURNE AVE",Rhode Island,Providence,East Providence,2011-06-02,Parts per billion,3.916667,9,2,8,Parts per million,0.038708,0.048,4,41,Parts per billion,0.1625,1,5,NA,Parts per million,0.14125,0.2,2,NA
111709,44,7,1010,"FRANCIS SCHOOL, 64 BOURNE AVE",Rhode Island,Providence,East Providence,2011-06-02,Parts per billion,3.916667,9,2,8,Parts per million,0.038708,0.048,4,41,Parts per billion,0.1625,1,5,NA,Parts per million,0.145833,0.2,0,2
111710,44,7,1010,"FRANCIS SCHOOL, 64 BOURNE AVE",Rhode Island,Providence,East Providence,2011-06-03,Parts per billion,3.95,14,22,13,Parts per million,0.036375,0.045,11,38,Parts per billion,0.1,2,22,3,Parts per million,0.1305,0.2,20,NA
111711,44,7,1010,"FRANCIS SCHOOL, 64 BOURNE AVE",Rhode Island,Providence,East Providence,2011-06-03,Parts per billion,3.95,14,22,13,Parts per million,0.036375,0.045,11,38,Parts per billion,0.1,2,22,3,Parts per million,0.105882,0.2,23,2
