X1,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
80086,45,19,46,390 BULLS ISLAND ROAD (AWENDAW) [Cape Romain],South Carolina,Charleston,Not in a city,2003-02-26,Parts per billion,4.52381,20,16,19,Parts per million,0.033667,0.036,0,31,Parts per billion,1.923077,2,1,3,Parts per million,0.3,0.3,18,NA
80087,45,19,46,390 BULLS ISLAND ROAD (AWENDAW) [Cape Romain],South Carolina,Charleston,Not in a city,2003-02-26,Parts per billion,4.52381,20,16,19,Parts per million,0.033667,0.036,0,31,Parts per billion,1.923077,2,1,3,Parts per million,0.3,0.3,23,3
80088,45,19,46,390 BULLS ISLAND ROAD (AWENDAW) [Cape Romain],South Carolina,Charleston,Not in a city,2003-02-26,Parts per billion,4.52381,20,16,19,Parts per million,0.033667,0.036,0,31,Parts per billion,1.9,2,5,NA,Parts per million,0.3,0.3,18,NA
80089,45,19,46,390 BULLS ISLAND ROAD (AWENDAW) [Cape Romain],South Carolina,Charleston,Not in a city,2003-02-26,Parts per billion,4.52381,20,16,19,Parts per million,0.033667,0.036,0,31,Parts per billion,1.9,2,5,NA,Parts per million,0.3,0.3,23,3
80090,45,19,46,390 BULLS ISLAND ROAD (AWENDAW) [Cape Romain],South Carolina,Charleston,Not in a city,2003-02-27,Parts per billion,6.333333,12,14,11,Parts per million,0.016,0.016,10,14,Parts per billion,0.1,1,14,1,Parts per million,0.233333,0.3,0,NA
80091,45,19,46,390 BULLS ISLAND ROAD (AWENDAW) [Cape Romain],South Carolina,Charleston,Not in a city,2003-02-27,Parts per billion,6.333333,12,14,11,Parts per million,0.016,0.016,10,14,Parts per billion,0.1,1,14,1,Parts per million,0.25,0.3,0,3
80092,45,19,46,390 BULLS ISLAND ROAD (AWENDAW) [Cape Romain],South Carolina,Charleston,Not in a city,2003-02-27,Parts per billion,6.333333,12,14,11,Parts per million,0.016,0.016,10,14,Parts per billion,0,0,17,NA,Parts per million,0.233333,0.3,0,NA
80093,45,19,46,390 BULLS ISLAND ROAD (AWENDAW) [Cape Romain],South Carolina,Charleston,Not in a city,2003-02-27,Parts per billion,6.333333,12,14,11,Parts per million,0.016,0.016,10,14,Parts per billion,0,0,17,NA,Parts per million,0.25,0.3,0,3
80094,45,19,46,390 BULLS ISLAND ROAD (AWENDAW) [Cape Romain],South Carolina,Charleston,Not in a city,2003-02-28,Parts per billion,4.208333,9,16,8,Parts per million,0.022417,0.027,15,23,Parts per billion,0.916667,10,12,14,Parts per million,0.179167,0.4,12,NA
80095,45,19,46,390 BULLS ISLAND ROAD (AWENDAW) [Cape Romain],South Carolina,Charleston,Not in a city,2003-02-28,Parts per billion,4.208333,9,16,8,Parts per million,0.022417,0.027,15,23,Parts per billion,0.916667,10,12,14,Parts per million,0.191667,0.2,0,2
