X1,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
112230,46,99,8,2001 E 8th St,South Dakota,Minnehaha,Sioux Falls,2011-01-01,Parts per billion,5.25,17.5,20,16,Parts per million,0.0395,0.044,7,37,Parts per billion,0.5625,1.4,12,1,Parts per million,0.1825,0.221,19,NA
112231,46,99,8,2001 E 8th St,South Dakota,Minnehaha,Sioux Falls,2011-01-01,Parts per billion,5.25,17.5,20,16,Parts per million,0.0395,0.044,7,37,Parts per billion,0.5625,1.4,12,1,Parts per million,0.2,0.2,5,2
112232,46,99,8,2001 E 8th St,South Dakota,Minnehaha,Sioux Falls,2011-01-01,Parts per billion,5.25,17.5,20,16,Parts per million,0.0395,0.044,7,37,Parts per billion,0.5375,1.2,14,NA,Parts per million,0.1825,0.221,19,NA
112233,46,99,8,2001 E 8th St,South Dakota,Minnehaha,Sioux Falls,2011-01-01,Parts per billion,5.25,17.5,20,16,Parts per million,0.0395,0.044,7,37,Parts per billion,0.5375,1.2,14,NA,Parts per million,0.2,0.2,5,2
112234,46,99,8,2001 E 8th St,South Dakota,Minnehaha,Sioux Falls,2011-01-02,Parts per billion,8.5875,17.3,18,16,Parts per million,0.037083,0.04,8,34,Parts per billion,0.404167,0.5,11,0,Parts per million,0.230125,0.335,18,NA
112235,46,99,8,2001 E 8th St,South Dakota,Minnehaha,Sioux Falls,2011-01-02,Parts per billion,8.5875,17.3,18,16,Parts per million,0.037083,0.04,8,34,Parts per billion,0.404167,0.5,11,0,Parts per million,0.229167,0.3,17,3
112236,46,99,8,2001 E 8th St,South Dakota,Minnehaha,Sioux Falls,2011-01-02,Parts per billion,8.5875,17.3,18,16,Parts per million,0.037083,0.04,8,34,Parts per billion,0.4,0.5,14,NA,Parts per million,0.230125,0.335,18,NA
112237,46,99,8,2001 E 8th St,South Dakota,Minnehaha,Sioux Falls,2011-01-02,Parts per billion,8.5875,17.3,18,16,Parts per million,0.037083,0.04,8,34,Parts per billion,0.4,0.5,14,NA,Parts per million,0.229167,0.3,17,3
112238,46,99,8,2001 E 8th St,South Dakota,Minnehaha,Sioux Falls,2011-01-03,Parts per billion,8.229167,18.6,8,17,Parts per million,0.035875,0.041,10,35,Parts per billion,1.070833,4,19,6,Parts per million,0.221292,0.341,8,NA
112239,46,99,8,2001 E 8th St,South Dakota,Minnehaha,Sioux Falls,2011-01-03,Parts per billion,8.229167,18.6,8,17,Parts per million,0.035875,0.041,10,35,Parts per billion,1.070833,4,19,6,Parts per million,0.229167,0.3,9,3
