X1,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
88066,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-01,Parts per billion,1,1,0,1,Parts per million,0.037208,0.051,16,43,Parts per billion,1,1,0,1,Parts per million,1,1,0,NA
88067,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-01,Parts per billion,1,1,0,1,Parts per million,0.037208,0.051,16,43,Parts per billion,1,1,0,1,Parts per million,1,1,5,11
88068,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-01,Parts per billion,1,1,0,1,Parts per million,0.037208,0.051,16,43,Parts per billion,1,1,2,NA,Parts per million,1,1,0,NA
88069,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-01,Parts per billion,1,1,0,1,Parts per million,0.037208,0.051,16,43,Parts per billion,1,1,2,NA,Parts per million,1,1,5,11
88070,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-02,Parts per billion,2.521739,5,19,5,Parts per million,0.020833,0.034,0,29,Parts per billion,1,1,0,1,Parts per million,1,1,0,NA
88071,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-02,Parts per billion,2.521739,5,19,5,Parts per million,0.020833,0.034,0,29,Parts per billion,1,1,0,1,Parts per million,1,1,0,11
88072,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-02,Parts per billion,2.521739,5,19,5,Parts per million,0.020833,0.034,0,29,Parts per billion,1,1,2,NA,Parts per million,1,1,0,NA
88073,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-02,Parts per billion,2.521739,5,19,5,Parts per million,0.020833,0.034,0,29,Parts per billion,1,1,2,NA,Parts per million,1,1,0,11
88074,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-03,Parts per billion,5.086957,11,5,10,Parts per million,0.013958,0.018,6,15,Parts per billion,2.041667,7,6,10,Parts per million,1,1,0,NA
88075,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-03,Parts per billion,5.086957,11,5,10,Parts per million,0.013958,0.018,6,15,Parts per billion,2.041667,7,6,10,Parts per million,1,1,0,11
88076,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-03,Parts per billion,5.086957,11,5,10,Parts per million,0.013958,0.018,6,15,Parts per billion,2.025,5.3,8,NA,Parts per million,1,1,0,NA
88077,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-03,Parts per billion,5.086957,11,5,10,Parts per million,0.013958,0.018,6,15,Parts per billion,2.025,5.3,8,NA,Parts per million,1,1,0,11
88078,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-04,Parts per billion,2.913043,8,0,8,Parts per million,0.015917,0.032,11,27,Parts per billion,1.25,3,10,4,Parts per million,1,1,0,NA
88079,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-04,Parts per billion,2.913043,8,0,8,Parts per million,0.015917,0.032,11,27,Parts per billion,1.25,3,10,4,Parts per million,1,1,0,11
88080,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-04,Parts per billion,2.913043,8,0,8,Parts per million,0.015917,0.032,11,27,Parts per billion,1.2375,2.6,11,NA,Parts per million,1,1,0,NA
88081,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-04,Parts per billion,2.913043,8,0,8,Parts per million,0.015917,0.032,11,27,Parts per billion,1.2375,2.6,11,NA,Parts per million,1,1,0,11
88082,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-05,Parts per billion,1,1,0,1,Parts per million,0.023792,0.038,10,32,Parts per billion,1,1,0,1,Parts per million,1,1,0,NA
88083,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-05,Parts per billion,1,1,0,1,Parts per million,0.023792,0.038,10,32,Parts per billion,1,1,0,1,Parts per million,1,1,0,11
88084,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-05,Parts per billion,1,1,0,1,Parts per million,0.023792,0.038,10,32,Parts per billion,1,1,2,NA,Parts per million,1,1,0,NA
88085,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-05,Parts per billion,1,1,0,1,Parts per million,0.023792,0.038,10,32,Parts per billion,1,1,2,NA,Parts per million,1,1,0,11
88086,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-06,Parts per billion,1,1,0,1,Parts per million,0.031208,0.037,11,31,Parts per billion,1,1,0,1,Parts per million,1,1,0,NA
88087,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-06,Parts per billion,1,1,0,1,Parts per million,0.031208,0.037,11,31,Parts per billion,1,1,0,1,Parts per million,1,1,0,11
88088,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-06,Parts per billion,1,1,0,1,Parts per million,0.031208,0.037,11,31,Parts per billion,1,1,2,NA,Parts per million,1,1,0,NA
88089,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-06,Parts per billion,1,1,0,1,Parts per million,0.031208,0.037,11,31,Parts per billion,1,1,2,NA,Parts per million,1,1,0,11
88090,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-07,Parts per billion,1,1,0,1,Parts per million,0.028458,0.034,9,29,Parts per billion,1,1,0,1,Parts per million,1,1,0,NA
88091,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-07,Parts per billion,1,1,0,1,Parts per million,0.028458,0.034,9,29,Parts per billion,1,1,0,1,Parts per million,1,1,0,11
88092,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-07,Parts per billion,1,1,0,1,Parts per million,0.028458,0.034,9,29,Parts per billion,1,1,2,NA,Parts per million,1,1,0,NA
88093,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-07,Parts per billion,1,1,0,1,Parts per million,0.028458,0.034,9,29,Parts per billion,1,1,2,NA,Parts per million,1,1,0,11
88094,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-08,Parts per billion,1,1,0,1,Parts per million,0.032708,0.039,23,33,Parts per billion,1,1,0,1,Parts per million,1,1,0,NA
88095,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-08,Parts per billion,1,1,0,1,Parts per million,0.032708,0.039,23,33,Parts per billion,1,1,0,1,Parts per million,1,1,0,11
88096,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-08,Parts per billion,1,1,0,1,Parts per million,0.032708,0.039,23,33,Parts per billion,1,1,2,NA,Parts per million,1,1,0,NA
88097,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-08,Parts per billion,1,1,0,1,Parts per million,0.032708,0.039,23,33,Parts per billion,1,1,2,NA,Parts per million,1,1,0,11
88098,47,75,3,1741 HILLVILLE LOOP ROAD,Tennessee,Haywood,Not in a city,2002-05-09,Parts per billion,1.26087,3,21,3,Parts per million,0.036125,0.043,8,36,Parts per billion,1,1,0,1,Parts per million,1,1,0,NA
