X1,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
132994,53,33,80,4103 BEACON HILL S,Washington,King,Seattle,2013-08-01,Parts per billion,3.704167,7,6,7,Parts per million,0.017042,0.02,9,19,Parts per billion,0.4625,0.9,4,0,Parts per million,0.129708,0.162,6,NA
132995,53,33,80,4103 BEACON HILL S,Washington,King,Seattle,2013-08-01,Parts per billion,3.704167,7,6,7,Parts per million,0.017042,0.02,9,19,Parts per billion,0.4625,0.9,4,0,Parts per million,0.129167,0.3,0,3
132996,53,33,80,4103 BEACON HILL S,Washington,King,Seattle,2013-08-01,Parts per billion,3.704167,7,6,7,Parts per million,0.017042,0.02,9,19,Parts per billion,0.4375,0.8,5,NA,Parts per million,0.129708,0.162,6,NA
132997,53,33,80,4103 BEACON HILL S,Washington,King,Seattle,2013-08-01,Parts per billion,3.704167,7,6,7,Parts per million,0.017042,0.02,9,19,Parts per billion,0.4375,0.8,5,NA,Parts per million,0.129167,0.3,0,3
132998,53,33,80,4103 BEACON HILL S,Washington,King,Seattle,2013-08-02,Parts per billion,8.225,22.7,22,21,Parts per million,0.008958,0.014,0,13,Parts per billion,0.508696,0.9,4,0,Parts per million,0.170652,0.293,22,NA
132999,53,33,80,4103 BEACON HILL S,Washington,King,Seattle,2013-08-02,Parts per billion,8.225,22.7,22,21,Parts per million,0.008958,0.014,0,13,Parts per billion,0.508696,0.9,4,0,Parts per million,0.145833,0.2,13,2
133000,53,33,80,4103 BEACON HILL S,Washington,King,Seattle,2013-08-02,Parts per billion,8.225,22.7,22,21,Parts per million,0.008958,0.014,0,13,Parts per billion,0.5,0.7,5,NA,Parts per million,0.170652,0.293,22,NA
133001,53,33,80,4103 BEACON HILL S,Washington,King,Seattle,2013-08-02,Parts per billion,8.225,22.7,22,21,Parts per million,0.008958,0.014,0,13,Parts per billion,0.5,0.7,5,NA,Parts per million,0.145833,0.2,13,2
133002,53,33,80,4103 BEACON HILL S,Washington,King,Seattle,2013-08-03,Parts per billion,12.573913,24,21,23,Parts per million,0.012833,0.026,12,24,Parts per billion,1.678261,8.9,21,11,Parts per million,0.198083,0.237,22,NA
133003,53,33,80,4103 BEACON HILL S,Washington,King,Seattle,2013-08-03,Parts per billion,12.573913,24,21,23,Parts per million,0.012833,0.026,12,24,Parts per billion,1.678261,8.9,21,11,Parts per million,0.2,0.2,0,2
133004,53,33,80,4103 BEACON HILL S,Washington,King,Seattle,2013-08-03,Parts per billion,12.573913,24,21,23,Parts per million,0.012833,0.026,12,24,Parts per billion,1.557143,3.5,23,NA,Parts per million,0.198083,0.237,22,NA
133005,53,33,80,4103 BEACON HILL S,Washington,King,Seattle,2013-08-03,Parts per billion,12.573913,24,21,23,Parts per million,0.012833,0.026,12,24,Parts per billion,1.557143,3.5,23,NA,Parts per million,0.2,0.2,0,2
133006,53,33,80,4103 BEACON HILL S,Washington,King,Seattle,2013-08-04,Parts per billion,10.254545,25.9,19,24,Parts per million,0.02075,0.033,11,31,Parts per billion,1.528571,3.7,7,4,Parts per million,0.186174,0.354,1,NA
133007,53,33,80,4103 BEACON HILL S,Washington,King,Seattle,2013-08-04,Parts per billion,10.254545,25.9,19,24,Parts per million,0.02075,0.033,11,31,Parts per billion,1.528571,3.7,7,4,Parts per million,0.2,0.2,0,2
133008,53,33,80,4103 BEACON HILL S,Washington,King,Seattle,2013-08-04,Parts per billion,10.254545,25.9,19,24,Parts per million,0.02075,0.033,11,31,Parts per billion,1.666667,2.5,8,NA,Parts per million,0.186174,0.354,1,NA
133009,53,33,80,4103 BEACON HILL S,Washington,King,Seattle,2013-08-04,Parts per billion,10.254545,25.9,19,24,Parts per million,0.02075,0.033,11,31,Parts per billion,1.666667,2.5,8,NA,Parts per million,0.2,0.2,0,2
133010,53,33,80,4103 BEACON HILL S,Washington,King,Seattle,2013-08-05,Parts per billion,15.5875,41.1,20,39,Parts per million,0.017083,0.028,10,26,Parts per billion,1.295833,4.5,4,6,Parts per million,0.220167,0.495,6,NA
133011,53,33,80,4103 BEACON HILL S,Washington,King,Seattle,2013-08-05,Parts per billion,15.5875,41.1,20,39,Parts per million,0.017083,0.028,10,26,Parts per billion,1.295833,4.5,4,6,Parts per million,0.229167,0.3,7,3
133012,53,33,80,4103 BEACON HILL S,Washington,King,Seattle,2013-08-05,Parts per billion,15.5875,41.1,20,39,Parts per million,0.017083,0.028,10,26,Parts per billion,1.25,2.4,5,NA,Parts per million,0.220167,0.495,6,NA
133013,53,33,80,4103 BEACON HILL S,Washington,King,Seattle,2013-08-05,Parts per billion,15.5875,41.1,20,39,Parts per million,0.017083,0.028,10,26,Parts per billion,1.25,2.4,5,NA,Parts per million,0.229167,0.3,7,3
133014,53,33,80,4103 BEACON HILL S,Washington,King,Seattle,2013-08-06,Parts per billion,17.616667,32.8,21,30,Parts per million,0.01575,0.032,11,30,Parts per billion,2.186957,5.7,6,7,Parts per million,0.208348,0.305,8,NA
133015,53,33,80,4103 BEACON HILL S,Washington,King,Seattle,2013-08-06,Parts per billion,17.616667,32.8,21,30,Parts per million,0.01575,0.032,11,30,Parts per billion,2.186957,5.7,6,7,Parts per million,0.2,0.2,0,2
133016,53,33,80,4103 BEACON HILL S,Washington,King,Seattle,2013-08-06,Parts per billion,17.616667,32.8,21,30,Parts per million,0.01575,0.032,11,30,Parts per billion,2.314286,4.2,8,NA,Parts per million,0.208348,0.305,8,NA
133017,53,33,80,4103 BEACON HILL S,Washington,King,Seattle,2013-08-06,Parts per billion,17.616667,32.8,21,30,Parts per million,0.01575,0.032,11,30,Parts per billion,2.314286,4.2,8,NA,Parts per million,0.2,0.2,0,2
133018,53,33,80,4103 BEACON HILL S,Washington,King,Seattle,2013-08-07,Parts per billion,20.304167,34.7,20,32,Parts per million,0.01125,0.028,11,26,Parts per billion,2.591667,5.4,6,7,Parts per million,0.21575,0.326,6,NA
133019,53,33,80,4103 BEACON HILL S,Washington,King,Seattle,2013-08-07,Parts per billion,20.304167,34.7,20,32,Parts per million,0.01125,0.028,11,26,Parts per billion,2.591667,5.4,6,7,Parts per million,0.220833,0.3,9,3
133020,53,33,80,4103 BEACON HILL S,Washington,King,Seattle,2013-08-07,Parts per billion,20.304167,34.7,20,32,Parts per million,0.01125,0.028,11,26,Parts per billion,2.5625,4.5,8,NA,Parts per million,0.21575,0.326,6,NA
133021,53,33,80,4103 BEACON HILL S,Washington,King,Seattle,2013-08-07,Parts per billion,20.304167,34.7,20,32,Parts per million,0.01125,0.028,11,26,Parts per billion,2.5625,4.5,8,NA,Parts per million,0.220833,0.3,9,3
133022,53,33,80,4103 BEACON HILL S,Washington,King,Seattle,2013-08-08,Parts per billion,8,21,0,20,Parts per million,0.014417,0.026,12,24,Parts per billion,0.743478,1.6,0,1,Parts per million,0.149043,0.28,1,NA
