X1,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
95675,55,79,26,2300 N M. L. KING JR DR,Wisconsin,Milwaukee,Milwaukee,2006-01-01,Parts per billion,10.708333,14,5,13,Parts per million,0.010042,0.018,23,15,Parts per billion,3.333333,7,12,10,Parts per million,0.3,0.3,0,NA
95676,55,79,26,2300 N M. L. KING JR DR,Wisconsin,Milwaukee,Milwaukee,2006-01-01,Parts per billion,10.708333,14,5,13,Parts per million,0.010042,0.018,23,15,Parts per billion,3.333333,7,12,10,Parts per million,0.3,0.3,5,3
95677,55,79,26,2300 N M. L. KING JR DR,Wisconsin,Milwaukee,Milwaukee,2006-01-01,Parts per billion,10.708333,14,5,13,Parts per million,0.010042,0.018,23,15,Parts per billion,3.3125,6,14,NA,Parts per million,0.3,0.3,0,NA
95678,55,79,26,2300 N M. L. KING JR DR,Wisconsin,Milwaukee,Milwaukee,2006-01-01,Parts per billion,10.708333,14,5,13,Parts per million,0.010042,0.018,23,15,Parts per billion,3.3125,6,14,NA,Parts per million,0.3,0.3,5,3
95679,55,79,26,2300 N M. L. KING JR DR,Wisconsin,Milwaukee,Milwaukee,2006-01-02,Parts per billion,9.375,12,7,11,Parts per million,0.016792,0.018,0,15,Parts per billion,3.625,5,7,7,Parts per million,0.3,0.3,0,NA
95680,55,79,26,2300 N M. L. KING JR DR,Wisconsin,Milwaukee,Milwaukee,2006-01-02,Parts per billion,9.375,12,7,11,Parts per million,0.016792,0.018,0,15,Parts per billion,3.625,5,7,7,Parts per million,0.3,0.3,0,3
95681,55,79,26,2300 N M. L. KING JR DR,Wisconsin,Milwaukee,Milwaukee,2006-01-02,Parts per billion,9.375,12,7,11,Parts per million,0.016792,0.018,0,15,Parts per billion,3.6,4.6,8,NA,Parts per million,0.3,0.3,0,NA
95682,55,79,26,2300 N M. L. KING JR DR,Wisconsin,Milwaukee,Milwaukee,2006-01-02,Parts per billion,9.375,12,7,11,Parts per million,0.016792,0.018,0,15,Parts per billion,3.6,4.6,8,NA,Parts per million,0.3,0.3,0,3
95683,55,79,26,2300 N M. L. KING JR DR,Wisconsin,Milwaukee,Milwaukee,2006-01-03,Parts per billion,14.75,20,16,19,Parts per million,0.003333,0.01,0,8,Parts per billion,3.291667,7,15,10,Parts per million,0.354167,0.6,14,NA
95684,55,79,26,2300 N M. L. KING JR DR,Wisconsin,Milwaukee,Milwaukee,2006-01-03,Parts per billion,14.75,20,16,19,Parts per million,0.003333,0.01,0,8,Parts per billion,3.291667,7,15,10,Parts per million,0.358333,0.5,17,6
95685,55,79,26,2300 N M. L. KING JR DR,Wisconsin,Milwaukee,Milwaukee,2006-01-03,Parts per billion,14.75,20,16,19,Parts per million,0.003333,0.01,0,8,Parts per billion,3.275,5.3,17,NA,Parts per million,0.354167,0.6,14,NA
95686,55,79,26,2300 N M. L. KING JR DR,Wisconsin,Milwaukee,Milwaukee,2006-01-03,Parts per billion,14.75,20,16,19,Parts per million,0.003333,0.01,0,8,Parts per billion,3.275,5.3,17,NA,Parts per million,0.358333,0.5,17,6
95687,55,79,26,2300 N M. L. KING JR DR,Wisconsin,Milwaukee,Milwaukee,2006-01-04,Parts per billion,13.454545,19,0,18,Parts per million,0.004375,0.01,22,8,Parts per billion,3,6,0,9,Parts per million,0.329167,0.6,7,NA
95688,55,79,26,2300 N M. L. KING JR DR,Wisconsin,Milwaukee,Milwaukee,2006-01-04,Parts per billion,13.454545,19,0,18,Parts per million,0.004375,0.01,22,8,Parts per billion,3,6,0,9,Parts per million,0.333333,0.4,7,5
95689,55,79,26,2300 N M. L. KING JR DR,Wisconsin,Milwaukee,Milwaukee,2006-01-04,Parts per billion,13.454545,19,0,18,Parts per million,0.004375,0.01,22,8,Parts per billion,2.9,5,2,NA,Parts per million,0.329167,0.6,7,NA
95690,55,79,26,2300 N M. L. KING JR DR,Wisconsin,Milwaukee,Milwaukee,2006-01-04,Parts per billion,13.454545,19,0,18,Parts per million,0.004375,0.01,22,8,Parts per billion,2.9,5,2,NA,Parts per million,0.333333,0.4,7,5
95691,55,79,26,2300 N M. L. KING JR DR,Wisconsin,Milwaukee,Milwaukee,2006-01-05,Parts per billion,10.083333,15,15,14,Parts per million,0.020542,0.032,22,27,Parts per billion,2,2,0,3,Parts per million,0.3,0.3,0,NA
95692,55,79,26,2300 N M. L. KING JR DR,Wisconsin,Milwaukee,Milwaukee,2006-01-05,Parts per billion,10.083333,15,15,14,Parts per million,0.020542,0.032,22,27,Parts per billion,2,2,0,3,Parts per million,0.3,0.3,0,3
95693,55,79,26,2300 N M. L. KING JR DR,Wisconsin,Milwaukee,Milwaukee,2006-01-05,Parts per billion,10.083333,15,15,14,Parts per million,0.020542,0.032,22,27,Parts per billion,2,2,2,NA,Parts per million,0.3,0.3,0,NA
95694,55,79,26,2300 N M. L. KING JR DR,Wisconsin,Milwaukee,Milwaukee,2006-01-05,Parts per billion,10.083333,15,15,14,Parts per million,0.020542,0.032,22,27,Parts per billion,2,2,2,NA,Parts per million,0.3,0.3,0,3
95695,55,79,26,2300 N M. L. KING JR DR,Wisconsin,Milwaukee,Milwaukee,2006-01-06,Parts per billion,12.916667,19,16,18,Parts per million,0.017333,0.031,0,26,Parts per billion,2,2,0,3,Parts per million,0.3,0.3,0,NA
95696,55,79,26,2300 N M. L. KING JR DR,Wisconsin,Milwaukee,Milwaukee,2006-01-06,Parts per billion,12.916667,19,16,18,Parts per million,0.017333,0.031,0,26,Parts per billion,2,2,0,3,Parts per million,0.3,0.3,0,3
