X1,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
112254,56,41,101,Murphy Ridge LOCATED NEAR WYOMING UTAH BORDER,Wyoming,Uinta,Not in a city,2007-01-01,Parts per billion,3.458333,7,7,7,Parts per million,0.0275,0.032,12,27,Parts per billion,2.433333,5.1,5,7,Parts per million,0.041667,0.1,7,NA
112255,56,41,101,Murphy Ridge LOCATED NEAR WYOMING UTAH BORDER,Wyoming,Uinta,Not in a city,2007-01-01,Parts per billion,3.458333,7,7,7,Parts per million,0.0275,0.032,12,27,Parts per billion,2.433333,5.1,5,7,Parts per million,0.026316,0.1,19,1
112256,56,41,101,Murphy Ridge LOCATED NEAR WYOMING UTAH BORDER,Wyoming,Uinta,Not in a city,2007-01-01,Parts per billion,3.458333,7,7,7,Parts per million,0.0275,0.032,12,27,Parts per billion,2.4,4.9,5,NA,Parts per million,0.041667,0.1,7,NA
112257,56,41,101,Murphy Ridge LOCATED NEAR WYOMING UTAH BORDER,Wyoming,Uinta,Not in a city,2007-01-01,Parts per billion,3.458333,7,7,7,Parts per million,0.0275,0.032,12,27,Parts per billion,2.4,4.9,5,NA,Parts per million,0.026316,0.1,19,1
112258,56,41,101,Murphy Ridge LOCATED NEAR WYOMING UTAH BORDER,Wyoming,Uinta,Not in a city,2007-01-02,Parts per billion,4.291667,11,6,10,Parts per million,0.03,0.032,13,27,Parts per billion,0.658333,1.3,22,1,Parts per million,0.058333,0.1,0,NA
112259,56,41,101,Murphy Ridge LOCATED NEAR WYOMING UTAH BORDER,Wyoming,Uinta,Not in a city,2007-01-02,Parts per billion,4.291667,11,6,10,Parts per million,0.03,0.032,13,27,Parts per billion,0.658333,1.3,22,1,Parts per million,0.066667,0.1,0,1
112260,56,41,101,Murphy Ridge LOCATED NEAR WYOMING UTAH BORDER,Wyoming,Uinta,Not in a city,2007-01-02,Parts per billion,4.291667,11,6,10,Parts per million,0.03,0.032,13,27,Parts per billion,0.625,1.1,23,NA,Parts per million,0.058333,0.1,0,NA
112261,56,41,101,Murphy Ridge LOCATED NEAR WYOMING UTAH BORDER,Wyoming,Uinta,Not in a city,2007-01-02,Parts per billion,4.291667,11,6,10,Parts per million,0.03,0.032,13,27,Parts per billion,0.625,1.1,23,NA,Parts per million,0.066667,0.1,0,1
112262,56,41,101,Murphy Ridge LOCATED NEAR WYOMING UTAH BORDER,Wyoming,Uinta,Not in a city,2007-01-03,Parts per billion,1.347826,10,0,9,Parts per million,0.035708,0.038,6,32,Parts per billion,0.769565,1.1,0,1,Parts per million,0.013043,0.1,0,NA
112263,56,41,101,Murphy Ridge LOCATED NEAR WYOMING UTAH BORDER,Wyoming,Uinta,Not in a city,2007-01-03,Parts per billion,1.347826,10,0,9,Parts per million,0.035708,0.038,6,32,Parts per billion,0.769565,1.1,0,1,Parts per million,0.025,0.1,0,1
